Nodo,Respuesta,Modelo_ID,Familia,Escenario,Observado,Predicho_LOOCV,Residuo_LOOCV
42,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.333333333333333,7.836703362097694,-0.503370028764361
43,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.666666666666667,8.257510573769682,-0.5908439071030154
44,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.666666666666667,7.354779970735746,0.3118866959309212
45,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5,4.7468701366140245,0.25312986338597554
46,Macollas,M2_CE_corregida,M2,M2_CE_corregida,4.666666666666667,4.401349613954121,0.2653170527125459
47,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5.333333333333333,4.5593741453307075,0.7739591880026255
48,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.333333333333333,6.161500290843531,0.17183304248980225
49,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7,6.654283865684363,0.3457161343156372
50,Macollas,M2_CE_corregida,M2,M2_CE_corregida,4,7.615989624518998,-3.615989624518998
51,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6,6.677119067215459,-0.6771190672154592
52,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.666666666666667,7.978606746129411,-0.3119400794627438
53,Macollas,M2_CE_corregida,M2,M2_CE_corregida,8.666666666666666,7.126976515609024,1.5396901510576422
54,Macollas,M2_CE_corregida,M2,M2_CE_corregida,9.666666666666666,8.485301687573909,1.1813649790927574
55,Macollas,M2_CE_corregida,M2,M2_CE_corregida,10.666666666666666,7.91560356595261,2.751063100714056
56,Macollas,M2_CE_corregida,M2,M2_CE_corregida,8.333333333333334,8.503160253505424,-0.1698269201720901
1,Macollas,M2_Indice_N,M2,M2_Indice_N,8.666666666666666,8.430936672736426,0.2357299939302404
2,Macollas,M2_Indice_N,M2,M2_Indice_N,8.333333333333334,9.287189408927205,-0.9538560755938708
3,Macollas,M2_Indice_N,M2,M2_Indice_N,7.333333333333333,8.220015641543917,-0.8866823082105837
4,Macollas,M2_Indice_N,M2,M2_Indice_N,7.666666666666667,7.651933226319617,0.014733440347050042
5,Macollas,M2_Indice_N,M2,M2_Indice_N,8,7.238903408539697,0.7610965914603032
6,Macollas,M2_Indice_N,M2,M2_Indice_N,5.666666666666667,7.483569425002469,-1.816902758335802
7,Macollas,M2_Indice_N,M2,M2_Indice_N,6.666666666666667,5.57344377266628,1.0932228940003865
8,Macollas,M2_Indice_N,M2,M2_Indice_N,5.666666666666667,6.8529394727783695,-1.1862728061117025
9,Macollas,M2_Indice_N,M2,M2_Indice_N,4.666666666666667,6.219340881888774,-1.5526742152221074
10,Macollas,M2_Indice_N,M2,M2_Indice_N,6.333333333333333,5.1168511691185135,1.2164821642148196
11,Macollas,M2_Indice_N,M2,M2_Indice_N,6,4.892576332595243,1.107423667404757
12,Macollas,M2_Indice_N,M2,M2_Indice_N,5.666666666666667,4.746091898202238,0.9205747684644292
13,Macollas,M2_Indice_N,M2,M2_Indice_N,7.666666666666667,6.42709757893888,1.2395690877277872
14,Macollas,M2_Indice_N,M2,M2_Indice_N,7.333333333333333,8.144075958706788,-0.8107426253734547
15,Macollas,M2_Indice_N,M2,M2_Indice_N,7.333333333333333,7.501924673780377,-0.16859134044704405
16,Macollas,M2_Indice_N,M2,M2_Indice_N,6.666666666666667,6.994323856504718,-0.32765718983805137
17,Macollas,M2_Indice_N,M2,M2_Indice_N,5.333333333333333,5.206793379734138,0.12653995359919534
18,Macollas,M2_Indice_N,M2,M2_Indice_N,6,5.785759525148622,0.21424047485137798
19,Macollas,M2_Indice_N,M2,M2_Indice_N,6,5.530365268248202,0.46963473175179793
20,Macollas,M2_Indice_N,M2,M2_Indice_N,5.666666666666667,5.196402031816066,0.47026463485060077
21,Macollas,M2_Indice_N,M2,M2_Indice_N,6.666666666666667,6.7588645001710574,-0.09219783350439048
22,Macollas,M2_Indice_N,M2,M2_Indice_N,7,6.9344648596232545,0.06553514037674546
23,Macollas,M2_Indice_N,M2,M2_Indice_N,6.333333333333333,6.9567996236139305,-0.6234662902805974
