grid_id,X,Y,CE_pred,CE_var,CE_corregida_pred,CE_corregida_var,Diferencia_prediccion,Relacion_varianzas
106,587189.2227146797,517552.8822922,232.185752286934,4194.811449505759,482.6956053525353,3630.433504998705,250.50985306560133,0.8654580899998378
107,587189.5107714018,517552.8822922,232.42202297942893,3767.750719183059,482.9154079777634,3260.830341019629,250.49338499833445,0.8654580899998228
108,587189.798828124,517552.8822922,232.76706167161348,3271.836739454873,483.2363974731025,2831.6375753198104,250.46933580148902,0.8654580899998069
109,587190.0868848461,517552.8822922,233.2324877925926,2706.425968063543,483.66938339344944,2342.2982490461077,250.43689560085684,0.8654580899997903
110,587190.3749415682,517552.8822922,233.8429067173804,2094.584073128079,484.23725611917956,1812.7747312733768,250.39434940179916,0.8654580899997751
111,587190.6629982904,517552.8822922,234.68782746806627,1544.3984122997485,485.0232858935427,1336.6121001076026,250.33545842547645,0.8654580899997603
112,587190.9510550125,517552.8822922,236.0293333725833,1371.4587431212224,486.27128883651494,1186.9400643351614,250.24195546393165,0.8654580899997577
113,587191.2391117347,517552.8822922,237.97423516416157,1728.8320953314906,488.0806309732206,1496.2317231558761,250.10639580905902,0.8654580899997607
114,587191.5271684568,517552.8822922,240.14220433718603,2259.701577540428,490.09749269488566,1955.6770112676181,249.95528835769963,0.8654580899997754
115,587191.815225179,517552.8822922,242.24228998259144,2752.6987965363387,492.05120237080666,2382.3454427950464,249.80891238821522,0.865458089999785
116,587192.1032819011,517552.8822922,244.1194913804035,3166.722894855328,493.79756283119167,2740.665948140119,249.67807145078817,0.8654580899997966
117,587192.3913386234,517552.8822922,245.67033115439938,3511.3290463414337,495.2403090729404,3038.9081298075057,249.56997791854104,0.8654580899998083
118,587192.6793953455,517552.8822922,246.8303847452951,3807.5158532754704,496.31950692855094,3295.2453980198243,249.48912218325583,0.8654580899998202
119,587192.9674520676,517552.8822922,247.58140559224503,4074.4243364083377,497.0181816224689,3526.2435040367927,249.43677603022385,0.865458089999832
120,587193.2555087898,517552.8822922,247.95317230628143,4324.463280308,497.3640361965373,3742.641730849819,249.41086389025588,0.8654580899998433
121,587193.5435655119,517552.8822922,248.0129336513147,4563.030428974272,497.419632175822,3949.11159967129,249.4066985245073,0.8654580899998545
122,587193.8316222341,517552.8822922,247.8467175973512,4790.768324934118,497.26500138082,4146.209204129337,249.41828378346884,0.8654580899998656
123,587194.1196789562,517552.8822922,247.54094814139802,5006.321039256208,496.9805440559471,4332.7610445608725,249.4395959145491,0.8654580899998762
124,587194.4077356784,517552.8822922,247.16989771869777,5208.287373974126,496.6353558477094,4507.55444285017,249.4654581290116,0.8654580899998862
125,587194.6957924005,517552.8822922,246.78980468056147,5396.080739304822,496.2817552943313,4670.081730123978,249.4919506137698,0.865458089999896
126,587194.9838491228,517552.8822922,246.43790740100178,5570.004507011039,495.95438525515726,4820.605461928638,249.51647785415548,0.8654580899999053
127,587188.6466012353,517553.17034892214,231.06841685276936,4738.024330258789,481.65614819813186,4100.561487238615,250.5877313453625,0.8654580899998553
128,587188.9346579574,517553.17034892214,231.08122303799382,4424.6209789271625,481.66806179224614,3829.324021395533,250.5868387542523,0.8654580899998419
129,587189.2227146797,517553.17034892214,231.19280282881616,4055.222461688135,481.7718644716481,3509.6250862170104,250.57906164283193,0.8654580899998271
130,587189.5107714018,517553.17034892214,231.42032436175808,3616.6177889086734,481.98352775374394,3130.0311238482436,250.56320339198587,0.865458089999812
