Nodo,Experimental_Unit,Treatment_ID,Treatment_base,Dose_percent,Omission_description,Replication,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,X,Y,GLI_09_buffer_0_0m,GLI_09_buffer_0_5m,GLI_09_buffer_1_0m,GRVI_09_buffer_0_0m,GRVI_09_buffer_0_5m,GRVI_09_buffer_1_0m,GLI_14_buffer_0_0m,GLI_14_buffer_0_5m,GLI_14_buffer_1_0m,GRVI_14_buffer_0_0m,GRVI_14_buffer_0_5m,GRVI_14_buffer_1_0m,Delta_GLI_buffer_0_0m,Delta_GLI_buffer_0_5m,Delta_GLI_buffer_1_0m,Delta_GRVI_buffer_0_0m,Delta_GRVI_buffer_0_5m,Delta_GRVI_buffer_1_0m
37,L2_NODE_37,T2-A,T2,100,Sin N,2,5,40.53333333333334,2.6666666666666665,0.67,3700,5100,1900,587200.115,517562,0.004163771002262695,0.0018099780493110776,0.0018099780493110776,-0.12137685223964939,-0.11876654708681395,-0.11876654708681395,0.20248306217650042,0.20814306412153452,0.20814306412153452,0.10752194173496256,0.10966270319221191,0.10966270319221191,0.1983192911742377,0.20633308607222345,0.20633308607222345,0.22889879397461196,0.22842925027902586,0.22842925027902586
38,L2_NODE_38,T2-B,T2,75,Sin N,2,4.666666666666667,37.800000000000004,2.8555555555555556,0.67,4000,4300,2000,587197.782,517560,0.03911914869579755,0.03468652799408606,0.03468652799408606,-0.02501349603431206,-0.028945664590297845,-0.028945664590297845,0.19780661159626506,0.22322987397441083,0.22322987397441083,0.09435929877307417,0.0989938172654866,0.0989938172654866,0.1586874629004675,0.18854334598032477,0.18854334598032477,0.11937279480738623,0.12793948185578444,0.12793948185578444
39,L2_NODE_39,T4-B,T4,75,Sin K,2,6,40.93333333333333,3.1111111111111116,0.69,5500,4000,2300,587196.259,517559,0.004635901089478315,0.0027797170926838616,0.0027797170926838616,-0.10759734958288406,-0.11058629225536516,-0.11058629225536516,0.1815662104532084,0.19510293963474895,0.19510293963474895,0.07006129394936456,0.08527246800738637,0.08527246800738637,0.17693030936373005,0.19232322254206508,0.19232322254206508,0.1776586435322486,0.19585876026275154,0.19585876026275154
40,L2_NODE_40,T6-B,T6,75,Sin Fe,2,5,42.03333333333333,3.355555555555556,0.71,6700,4500,1800,587194.193,517557,-0.007573482648418637,-0.009884340756875129,-0.009884340756875129,-0.11360846764869162,-0.11016312882811972,-0.11016312882811972,0.1983036971814363,0.20065650707071017,0.20065650707071017,0.12374757115459255,0.11966320825432283,0.11966320825432283,0.20587717982985493,0.2105408478275853,0.2105408478275853,0.2373560388032842,0.22982633708244254,0.22982633708244254
41,L2_NODE_41,T2-A,T2,100,Sin N,3,7.666666666666667,50.666666666666664,3.6222222222222222,0.7,2900,5200,1500,587192.224,517555,0.011000710430013308,0.01694798006713365,0.01694798006713365,-0.08017647569274458,-0.0701036348603267,-0.0701036348603267,0.16862400059894997,0.18111305196492397,0.18111305196492397,0.053291125092528195,0.06042723347560485,0.06042723347560485,0.15762329016893664,0.1641650718977903,0.1641650718977903,0.13346760078527278,0.13053086833593155,0.13053086833593155
42,L2_NODE_42,T3-A,T3,100,Sin P,3,7.333333333333333,49.666666666666664,3.4,0.7,5400,5100,1500,587190.146,517554,0.01409569489130397,0.015960540489164707,0.015960540489164707,-0.1273759680839367,-0.13948236054510024,-0.13948236054510024,0.21573558271979537,0.20001745485333197,0.20001745485333197,0.16126466127838582,0.14769396233922016,0.14769396233922016,0.20163988782849135,0.18405691436416727,0.18405691436416727,0.2886406293623225,0.2871763228843204,0.2871763228843204
43,L2_NODE_43,T5-A,T5,100,Sin Mg y S,3,7.666666666666667,54.833333333333336,3.4000000000000004,0.72,3400,5000,1900,587191.692,517552,0.10710969465587483,0.10465218116356717,0.10465218116356717,3.9226525587065337e-4,-0.0030134899622400596,-0.0030134899622400596,0.24811581757628504,0.21166818702172546,0.21166818702172546,0.14010442902367026,0.11944832171176309,0.11944832171176309,0.1410061229204102,0.10701600585815829,0.10701600585815829,0.1397121637677996,0.12246181167400315,0.12246181167400315
44,L2_NODE_44,T1-A,T1,100,Completo,3,7.666666666666667,54.666666666666664,3.6999999999999997,0.71,4800,5000,1700,587193.77,517553,0.20497661230476344,0.17600904327515607,0.17600904327515607,0.033998018603611325,0.02280012590154371,0.02280012590154371,0.1970717598375409,0.18889166810175562,0.18889166810175562,0.11872214362688222,0.11542175438961295,0.11542175438961295,-0.00790485246722252,0.012882624826599548,0.012882624826599548,0.0847241250232709,0.09262162848806925,0.09262162848806925
45,L2_NODE_45,T0-B,T0,75,Control,2,5,47.599999999999994,3.3111111111111113,0.67,4400,4300,1900,587195.739,517555,0.19793379901538186,0.19963211116311846,0.19963211116311846,0.01685520237257832,0.01477637371549156,0.01477637371549156,0.18887798374079062,0.16690282640983214,0.16690282640983214,0.09723171857524555,0.08345644421539053,0.08345644421539053,-0.009055815274591246,-0.03272928475328632,-0.03272928475328632,0.08037651620266725,0.06868007049989897,0.06868007049989897
46,L2_NODE_46,T9-B,T9,75,Sin B,2,4.666666666666667,47,3.2444444444444445,0.71,5800,4400,1700,587197.805,517557,0.1698081712074932,0.17381740375579824,0.17381740375579824,0.03115327436976391,0.02887773789078553,0.02887773789078553,0.170998259586454,0.1702715015528709,0.1702715015528709,0.07317907428831552,0.08055616969543748,0.08055616969543748,0.0011900883789608032,-0.0035459022029273313,-0.0035459022029273313,0.04202579991855161,0.05167843180465195,0.05167843180465195
47,L2_NODE_47,T10-B,T10,75,Sin Cu,2,5.333333333333333,46.199999999999996,3.088888888888889,0.71,4800,4600,1800,587199.328,517558,0.12364778162870349,0.139229531333146,0.139229531333146,-0.038128524589432125,-0.043744783938467126,-0.043744783938467126,0.2718432572231345,0.2924177171341085,0.2924177171341085,0.14360089665291753,0.15294867903354148,0.15294867903354148,0.14819547559443103,0.15318818580096252,0.15318818580096252,0.18172942124234964,0.1966934629720086,0.1966934629720086
48,L2_NODE_48,T8-A,T8,100,Sin Mn,2,6.333333333333333,43,3.4,0.72,5100,4300,1400,587201.661,517560,0.11800400386774766,0.11299098754769003,0.11299098754769003,0.0025976098804000383,9.983008683151948e-4,9.983008683151948e-4,0.18106862730558027,0.18194811558290358,0.18194811558290358,0.08887032416804796,0.09699271262621975,0.09699271262621975,0.0630646234378326,0.06895712803521355,0.06895712803521355,0.08627271428764793,0.09599441175790456,0.09599441175790456
49,L2_NODE_49,T6-A,T6,100,Sin Fe,2,7,36.6,3.0222222222222226,0.72,4300,4800,1400,587203.586,517562,0.22799759700507571,0.22627692208176076,0.22627692208176076,0.042224906097497815,0.04097435369396593,0.04097435369396593,0.2354218916255719,0.2333148350172875,0.2333148350172875,0.13291344401843894,0.13379655724930284,0.13379655724930284,0.007424294620496128,0.007037912935526747,0.007037912935526747,0.09068853792094111,0.09282220355533691,0.09282220355533691
50,L2_NODE_50,T3-A,T3,100,Sin P,2,4,39.166666666666664,3.1111111111111107,0.68,3600,4600,1300,587205.651,517563,0.1602988086165515,0.14985278178005443,0.14985278178005443,-0.007349275208101587,-0.010629533696378032,-0.010629533696378032,0.033629357400866214,0.04816518304913425,0.04816518304913425,-0.03438602292721214,-0.021516183326664058,-0.021516183326664058,-0.1266694512156853,-0.10168759873092018,-0.10168759873092018,-0.02703674771911056,-0.010886649630286026,-0.010886649630286026
51,L2_NODE_51,T9-B,T9,75,Sin B,1,6,40,3.488888888888889,0.68,4800,3800,1500,587207.621,517565,0.1743172176146146,0.1721531573228191,0.1721531573228191,0.02706285190245424,0.022798524370173195,0.022798524370173195,0.13478183279511977,0.14090779794141287,0.14090779794141287,0.032569927933225475,0.04193880903806594,0.04193880903806594,-0.039535384819494875,-0.03124535938140624,-0.03124535938140624,0.005507076030771234,0.019140284667892745,0.019140284667892745
