Nodo,Variable,Buffer_m,Valor
9,GLI_14,0.5,0.3554226015745402
10,GLI_14,0.5,0.24709923556857596
11,GLI_14,0.5,0.235306670367515
12,GLI_14,0.5,0.19934959714420442
13,GLI_14,0.5,0.2748445360929985
14,GLI_14,0.5,0.279887481019727
15,GLI_14,0.5,0.15899302053538497
16,GLI_14,0.5,0.25235171256549144
17,GLI_14,0.5,0.09673007969434187
18,GLI_14,0.5,0.20765979846027777
19,GLI_14,0.5,0.31225548598790154
20,GLI_14,0.5,0.23894722195153834
21,GLI_14,0.5,0.3023150371232058
22,GLI_14,0.5,0.3752044529839674
23,GLI_14,0.5,0.23437583823206257
24,GLI_14,0.5,0.10090136197543338
25,GLI_14,0.5,0.2287481775983319
26,GLI_14,0.5,0.21596771010899815
27,GLI_14,0.5,0.1900572056457997
28,GLI_14,0.5,0.1861309027155483
29,GLI_14,0.5,0.2522019652124865
30,GLI_14,0.5,0.22507785535874195
31,GLI_14,0.5,0.23113061723546946
32,GLI_14,0.5,0.30085845909502934
33,GLI_14,0.5,0.19833366049881013
34,GLI_14,0.5,0.25229832417514364
35,GLI_14,0.5,0.16567196333526818
36,GLI_14,0.5,0.20165766168955182
37,GLI_14,0.5,0.20814306412153452
38,GLI_14,0.5,0.22322987397441083
39,GLI_14,0.5,0.19510293963474895
40,GLI_14,0.5,0.20065650707071017
41,GLI_14,0.5,0.18111305196492397
42,GLI_14,0.5,0.20001745485333197
43,GLI_14,0.5,0.21166818702172546
44,GLI_14,0.5,0.18889166810175562
45,GLI_14,0.5,0.16690282640983214
46,GLI_14,0.5,0.1702715015528709
47,GLI_14,0.5,0.2924177171341085
48,GLI_14,0.5,0.18194811558290358
49,GLI_14,0.5,0.2333148350172875
50,GLI_14,0.5,0.04816518304913425
51,GLI_14,0.5,0.14090779794141287
52,GLI_14,0.5,0.1962475927852059
53,GLI_14,0.5,0.2385362047495068
54,GLI_14,0.5,0.17110579616221872
55,GLI_14,0.5,0.1523151352642189
56,GLI_14,0.5,0.165639963546377
1,GLI_14,1,0.13362828900002136
2,GLI_14,1,0.18104883431602645
3,GLI_14,1,0.03588081096415835
4,GLI_14,1,0.16871782229488444
5,GLI_14,1,0.1419020001636617
6,GLI_14,1,0.13265496182181055
7,GLI_14,1,0.27296208419341533
8,GLI_14,1,0.16643657873968268
9,GLI_14,1,0.3554226015745402
10,GLI_14,1,0.24709923556857596
11,GLI_14,1,0.235306670367515
12,GLI_14,1,0.19934959714420442
13,GLI_14,1,0.2748445360929985
14,GLI_14,1,0.279887481019727
15,GLI_14,1,0.15899302053538497
16,GLI_14,1,0.25235171256549144
17,GLI_14,1,0.09673007969434187
18,GLI_14,1,0.20765979846027777
19,GLI_14,1,0.31225548598790154
20,GLI_14,1,0.23894722195153834
21,GLI_14,1,0.3023150371232058
22,GLI_14,1,0.3752044529839674
23,GLI_14,1,0.23437583823206257
24,GLI_14,1,0.10090136197543338
25,GLI_14,1,0.2287481775983319
26,GLI_14,1,0.21596771010899815
27,GLI_14,1,0.1900572056457997
28,GLI_14,1,0.1861309027155483
29,GLI_14,1,0.2522019652124865
30,GLI_14,1,0.22507785535874195
31,GLI_14,1,0.23113061723546946
32,GLI_14,1,0.30085845909502934
33,GLI_14,1,0.19833366049881013
34,GLI_14,1,0.25229832417514364
35,GLI_14,1,0.16567196333526818
36,GLI_14,1,0.20165766168955182
37,GLI_14,1,0.20814306412153452
38,GLI_14,1,0.22322987397441083
39,GLI_14,1,0.19510293963474895
40,GLI_14,1,0.20065650707071017
41,GLI_14,1,0.18111305196492397
42,GLI_14,1,0.20001745485333197
43,GLI_14,1,0.21166818702172546
44,GLI_14,1,0.18889166810175562
45,GLI_14,1,0.16690282640983214
46,GLI_14,1,0.1702715015528709
47,GLI_14,1,0.2924177171341085
48,GLI_14,1,0.18194811558290358
49,GLI_14,1,0.2333148350172875
50,GLI_14,1,0.04816518304913425
51,GLI_14,1,0.14090779794141287
52,GLI_14,1,0.1962475927852059
53,GLI_14,1,0.2385362047495068
54,GLI_14,1,0.17110579616221872
55,GLI_14,1,0.1523151352642189
56,GLI_14,1,0.165639963546377
1,GRVI_14,0,0.043357746545662816
2,GRVI_14,0,0.12376061359230986
3,GRVI_14,0,-0.038693333715142206
4,GRVI_14,0,0.10633868680908765
5,GRVI_14,0,0.05117824350352884
6,GRVI_14,0,0.05324303127120686
7,GRVI_14,0,0.1466815864961182
8,GRVI_14,0,0.10945734930148406
9,GRVI_14,0,0.18659792989264745
10,GRVI_14,0,0.18545909805623978
11,GRVI_14,0,0.10187933712737164
12,GRVI_14,0,0.12135837382899341
13,GRVI_14,0,0.1936816212542105
14,GRVI_14,0,0.16833917033616597
15,GRVI_14,0,0.0357153437682087
16,GRVI_14,0,0.13639077415721537
17,GRVI_14,0,0.014906208415616734
18,GRVI_14,0,0.1278776553261845
19,GRVI_14,0,0.2289213516045173
20,GRVI_14,0,0.12952509736164294
21,GRVI_14,0,0.18878836695127105
22,GRVI_14,0,0.15657423370633222
23,GRVI_14,0,0.12168041971642968
24,GRVI_14,0,0.011644672536959909
25,GRVI_14,0,0.12511292268057966
26,GRVI_14,0,0.14363301505999054
27,GRVI_14,0,0.08110219300948197
28,GRVI_14,0,0.08894625951149127
29,GRVI_14,0,0.1505269493480975
30,GRVI_14,0,0.07270708364538876
31,GRVI_14,0,0.09510498638239481
32,GRVI_14,0,0.10527814150754791
33,GRVI_14,0,0.10219983493611433
34,GRVI_14,0,0.11993463665659712
35,GRVI_14,0,0.047076636888702686
36,GRVI_14,0,0.1461491106727178
37,GRVI_14,0,0.10752194173496256
38,GRVI_14,0,0.09435929877307417
39,GRVI_14,0,0.07006129394936456
40,GRVI_14,0,0.12374757115459255
41,GRVI_14,0,0.053291125092528195
42,GRVI_14,0,0.16126466127838582
43,GRVI_14,0,0.14010442902367026
44,GRVI_14,0,0.11872214362688222
45,GRVI_14,0,0.09723171857524555
46,GRVI_14,0,0.07317907428831552
47,GRVI_14,0,0.14360089665291753
48,GRVI_14,0,0.08887032416804796
