Variable_UAV,Variable_cultivo,n,Pearson,Spearman
GRVI_09_buffer_1_0m,Diametro,56,-0.019651305416471834,0.01678460376909915
GRVI_09_buffer_1_0m,Macollas,56,0.12347850984017604,0.14323495258859686
GRVI_09_buffer_1_0m,NDVI,56,0.15173290734511602,0.21396655094565564
GRVI_09_buffer_1_0m,Nitratos,56,0.03095074545258201,0.029706726942405434
GRVI_09_buffer_1_0m,Potasio_savia,56,-0.07840381208947657,-0.016268681108298086
GRVI_14_buffer_0_0m,Altura,56,0.4086667891508534,0.44372671682500225
GRVI_14_buffer_0_0m,Calcio_savia,56,0.07398462476160274,0.07731275644616364
GRVI_14_buffer_0_0m,Diametro,56,0.1636053865089821,0.13578094943149047
GRVI_14_buffer_0_0m,Macollas,56,-0.022450987398720906,-0.05612149769926592
GRVI_14_buffer_0_0m,NDVI,56,0.15443042336208318,0.197718119534789
GRVI_14_buffer_0_0m,Nitratos,56,-0.09217426325087374,-0.17978045694522554
GRVI_14_buffer_0_0m,Potasio_savia,56,0.3382304830460261,0.3454520577110131
GRVI_14_buffer_0_5m,Altura,56,0.39052036606491397,0.38788065233358626
GRVI_14_buffer_0_5m,Calcio_savia,56,0.07152444346201013,0.08118868434253299
GRVI_14_buffer_0_5m,Diametro,56,0.2189578664354883,0.10539090309599324
GRVI_14_buffer_0_5m,Macollas,56,-0.06593049446267439,-0.08423367125662577
GRVI_14_buffer_0_5m,NDVI,56,0.12376162917769547,0.1793217078521233
GRVI_14_buffer_0_5m,Nitratos,56,-0.1104531512561054,-0.14497430337330577
GRVI_14_buffer_0_5m,Potasio_savia,56,0.3342667322958737,0.3315516023336698
GRVI_14_buffer_1_0m,Altura,56,0.39052036606491397,0.38788065233358626
GRVI_14_buffer_1_0m,Calcio_savia,56,0.07152444346201013,0.08118868434253299
GRVI_14_buffer_1_0m,Diametro,56,0.2189578664354883,0.10539090309599324
GRVI_14_buffer_1_0m,Macollas,56,-0.06593049446267439,-0.08423367125662577
GRVI_14_buffer_1_0m,NDVI,56,0.12376162917769547,0.1793217078521233
GRVI_14_buffer_1_0m,Nitratos,56,-0.1104531512561054,-0.14497430337330577
GRVI_14_buffer_1_0m,Potasio_savia,56,0.3342667322958737,0.3315516023336698
