Nodo,Treatment_ID,Dose_percent,Omission_description,Replication,Observado,Ajustado,Residuo,Residuo_estudentizado,Leverage,Cook,Variable,Modelo,X,Y,n_modelo,umbral_cook,umbral_leverage,Flag_Cook,Flag_Leverage,Flag_Residuo,Influyente
18,T5-B,D75,Sin Mg y S,2,49.53333333333333,43.98888888888887,5.5444444444444585,1.2621196066587763,0.04166666666666666,0.023086172485688453,Altura,M0_Bloque,587194.713,517560,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
19,T11-B,D75,Sin Mo,2,48.36666666666667,43.98888888888887,4.377777777777794,0.9965433367205573,0.04166666666666666,0.014392733651625238,Altura,M0_Bloque,587196.236,517562,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
20,T9-A,D100,Sin B,2,46.4,43.98888888888887,2.4111111111111256,0.5488576245389869,0.04166666666666666,0.00436586510166057,Altura,M0_Bloque,587198.569,517564,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
21,T11-A,D100,Sin Mo,2,45.9,43.98888888888887,1.9111111111111256,0.4350392231368927,0.04166666666666666,0.0027428858792398693,Altura,M0_Bloque,587200.494,517565,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
22,T5-A,D100,Sin Mg y S,2,46.03333333333333,43.98888888888887,2.0444444444444585,0.46539079684411766,0.04166666666666666,0.003138965127350763,Altura,M0_Bloque,587202.56,517567,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
23,T10-B,D75,Sin Cu,1,45.06666666666666,42.96388888888887,2.1027777777777956,0.4786696103410288,0.041666666666666664,0.0033206463168700324,Altura,M0_Bloque,587204.529,517569,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
24,T7-B,D75,Sin Zn,1,38.733333333333334,42.96388888888887,-4.230555555555533,-0.9630301407521618,0.041666666666666664,0.01344097176807432,Altura,M0_Bloque,587206.461,517570,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
25,T0-B,D75,Control,1,41.9,42.96388888888887,-1.0638888888888687,-0.24218026520556654,0.041666666666666664,8.500185631165002e-4,Altura,M0_Bloque,587208.571,517572,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
26,T9-A,D100,Sin B,1,40.93333333333333,42.96388888888887,-2.0305555555555372,-0.4622291745829489,0.041666666666666664,0.0030964610121106393,Altura,M0_Bloque,587210.54,517574,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
27,T1-A,D100,Completo,1,46.300000000000004,42.96388888888887,3.336111111111137,0.7594216671328627,0.041666666666666664,0.008358279253780526,Altura,M0_Bloque,587212.65,517576,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
28,T2-A,D100,Sin N,1,44.300000000000004,42.96388888888887,1.336111111111137,0.30414806152448653,0.041666666666666664,0.001340667294624678,Altura,M0_Bloque,587214.441,517577,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
29,T7-A,D100,Sin Zn,1,50.6,42.96388888888887,7.636111111111134,1.7382599191908716,0.041666666666666664,0.04379054415457181,Altura,M0_Bloque,587215.987,517575,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
30,T0-A,D100,Control,1,43.4,42.96388888888887,0.4361111111111313,0.09927493900071586,0.041666666666666664,1.4283352918254854e-4,Altura,M0_Bloque,587214.196,517574,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
31,T5-A,D100,Sin Mg y S,1,44.6,42.96388888888887,1.6361111111111342,0.37243910236574235,0.041666666666666664,0.002010302680739128,Altura,M0_Bloque,587212.086,517572,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
32,T4-B,D75,Sin K,1,44.5,42.96388888888887,1.5361111111111327,0.3496754220853232,0.041666666666666664,0.0017720710262398391,Altura,M0_Bloque,587210.117,517570,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
33,T8-B,D75,Sin Mn,1,40.800000000000004,42.96388888888887,-2.163888888888863,-0.49258074829017223,0.041666666666666664,0.0035164607766102313,Altura,M0_Bloque,587208.007,517569,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
34,T11-B,D75,Sin Mo,1,42.06666666666666,42.96388888888887,-0.8972222222222044,-0.2042407980715357,0.041666666666666664,6.045551245927218e-4,Altura,M0_Bloque,587206.075,517567,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
35,T1-A,D100,Completo,2,41.96666666666667,43.98888888888887,-2.0222222222222044,-0.4603322012262468,0.04166666666666666,0.0030710976157362554,Altura,M0_Bloque,587204.105,517565,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
36,T7-A,D100,Sin Zn,2,47.46666666666666,43.98888888888887,3.4777777777777885,0.7916702141967867,0.04166666666666666,0.00908321344994762,Altura,M0_Bloque,587202.04,517564,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
37,T2-A,D100,Sin N,2,40.53333333333334,43.98888888888887,-3.4555555555555344,-0.7866116185789158,0.04166666666666666,0.008967504905555672,Altura,M0_Bloque,587200.115,517562,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
38,T2-B,D75,Sin N,2,37.800000000000004,43.98888888888887,-6.188888888888869,-1.4088188795770304,0.04166666666666666,0.02876479181815476,Altura,M0_Bloque,587197.782,517560,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
39,T4-B,D75,Sin K,2,40.93333333333333,43.98888888888887,-3.055555555555543,-0.6955568974572425,0.04166666666666666,0.007011585472468763,Altura,M0_Bloque,587196.259,517559,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
40,T6-B,D75,Sin Fe,2,42.03333333333333,43.98888888888887,-1.9555555555555415,-0.4451564143726351,0.04166666666666666,0.0028719454095232043,Altura,M0_Bloque,587194.193,517557,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
41,T2-A,D100,Sin N,3,50.666666666666664,52.31249999999998,-1.6458333333333144,-0.39208714326554706,0.125,0.007320587043530364,Altura,M0_Bloque,587192.224,517555,56,0.07142857142857142,0.10714285714285714,FALSE,TRUE,FALSE,TRUE
42,T3-A,D100,Sin P,3,49.666666666666664,52.31249999999998,-2.6458333333333144,-0.6303173062623346,0.125,0.01891904317018123,Altura,M0_Bloque,587190.146,517554,56,0.07142857142857142,0.10714285714285714,FALSE,TRUE,FALSE,TRUE
43,T5-A,D100,Sin Mg y S,3,54.833333333333336,52.31249999999998,2.520833333333357,0.6005385358877356,0.125,0.017173644432675484,Altura,M0_Bloque,587191.692,517552,56,0.07142857142857142,0.10714285714285714,FALSE,TRUE,FALSE,TRUE
44,T1-A,D100,Completo,3,54.666666666666664,52.31249999999998,2.3541666666666856,0.5608335087216032,0.125,0.014977820214523076,Altura,M0_Bloque,587193.77,517553,56,0.07142857142857142,0.10714285714285714,FALSE,TRUE,FALSE,TRUE
45,T0-B,D75,Control,2,47.599999999999994,43.98888888888887,3.6111111111111214,0.8220217879040117,0.04166666666666666,0.009793040866505908,Altura,M0_Bloque,587195.739,517555,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
46,T9-B,D75,Sin B,2,47,43.98888888888887,3.011111111111127,0.6854397062215001,0.04166666666666666,0.006809095519782842,Altura,M0_Bloque,587197.805,517557,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
47,T10-B,D75,Sin Cu,2,46.199999999999996,43.98888888888887,2.211111111111123,0.5033302639781485,0.04166666666666666,0.003671613835308877,Altura,M0_Bloque,587199.328,517558,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
