Nodo,Variable_suelo,Prediccion,Varianza_kriging,Error_estandar_kriging
16,CE,178.32928128728045,3344.0453430036096,57.827721233017726
17,CE,175.6150853678236,3081.0972562273705,55.5076324141768
18,CE,181.8089981297853,3547.259601933543,59.55887508955775
19,CE,166.27803468695151,3117.119401481105,55.831168727522666
20,CE,127.48522014555596,2995.9077466937547,54.734886011516956
21,CE,200.32890913760988,3472.673606742973,58.92939509907575
22,CE,228.71581992531452,3274.333175054612,57.22178933810627
23,CE,179.35144908473524,2938.984949587531,54.21240586422568
24,CE,266.9609037597214,3449.24423791381,58.730266795867784
25,CE,256.1258580393511,3263.9866768202814,57.131310827078714
26,CE,289.3965930392144,2926.1952437107225,54.094318035360445
27,CE,351.43520700006127,2690.017634564045,51.86537992306665
28,CE,333.52374826493326,3223.106899058474,56.77241318685048
29,CE,330.833363690577,2031.66057285597,45.0739456100303
30,CE,287.7751290165133,2624.395924365886,51.22885831604962
31,CE,264.7594785419162,2240.9109913525863,47.33826138920383
32,CE,193.102799608652,1737.3533596448,41.68157098340704
33,CE,242.41409310091885,2762.867756082046,52.562988462244476
34,CE,208.2163027681082,2223.486696066198,47.1538619422227
35,CE,310.7478583740179,1737.204622308876,41.6797867354054
36,CE,261.6401581224542,2703.9641956511555,51.9996557262753
37,CE,126.97960998163278,2131.1443169900294,46.16431865618759
38,CE,216.55137943988112,2327.4847058181685,48.24401212397419
39,CE,242.55184562597793,2473.8089822718357,49.73740023635972
40,CE,214.47950679586268,1980.249509483837,44.4999944885821
41,CE,247.49351752792455,1403.8638447048947,37.46817108833703
42,CE,229.1841886509458,2784.58305544803,52.7691487087676
43,CE,240.96117387771207,3956.0520364336953,62.897154438286755
44,CE,248.17605435765364,4630.405852165575,68.04708555232601
45,CE,243.04254133330625,4284.803206770333,65.45840822056654
46,CE,256.94972184499886,3967.0082207243595,62.98419024425383
47,CE,234.60588568763936,4291.90401645401,65.51262486310566
48,CE,188.17683841530146,4192.575768183733,64.75010245693618
49,CE,267.7705754186346,3714.855051582752,60.94961075825466
50,CE,282.38406347892305,4523.521789132264,67.25713188303723
51,CE,234.38527309722323,4131.760497041895,64.27877174496955
52,CE,226.6385519772481,3650.6105072785144,60.42028225090077
53,CE,202.91811991894707,3344.2502687686424,57.829493070306626
54,CE,240.6377270123093,4117.319311103653,64.16634095149615
55,CE,263.02659313464585,3829.9260127475427,61.88639602325816
56,CE,309.70448809759563,3330.339087742755,57.70909016561217
1,CE_corregida_OLS,568.7059999973585,2790.800679305529,52.828029296061466
2,CE_corregida_OLS,580.3446511696878,3302.9944263773236,57.47168369186102
3,CE_corregida_OLS,544.7926415997391,2995.3390736965835,54.72969097022734
4,CE_corregida_OLS,519.6203939762178,2538.284383006655,50.381389252447725
5,CE_corregida_OLS,551.2516702261818,2289.8762463445432,47.852651403496374
6,CE_corregida_OLS,405.1757517334531,1919.2341917543574,43.80906517781859
7,CE_corregida_OLS,453.62381908049406,2523.437432051693,50.23382756720508
8,CE_corregida_OLS,438.98429444354707,2217.3745304290296,47.08900647103344
9,CE_corregida_OLS,391.58277152713356,2914.6278026074233,53.987292973508346
10,CE_corregida_OLS,412.7946422748846,2875.4061493674853,53.622813702448376
11,CE_corregida_OLS,389.32203475841084,1844.5641291456295,42.94838913330312
12,CE_corregida_OLS,415.25590348947674,2813.8326569407463,53.04557151111435
13,CE_corregida_OLS,402.07390840162464,2319.1340482106752,48.157388303464664
14,CE_corregida_OLS,465.479522007962,2592.7585887662062,50.919137745706244
15,CE_corregida_OLS,472.8109627566596,3340.8451782648,57.80004479466084
16,CE_corregida_OLS,432.5929303815548,2894.131095428555,53.797129063069484
17,CE_corregida_OLS,430.0679139176843,2666.560546478078,51.638750434901866
