Nodo,X,Y,Variable,Escenario,Valor,Gi_estrella,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_Gi
46,587197.805,517557,Altura,Residual_ajustado,2.4319444444444462,0.5251180570494853,-2.136234651178757,1.9277391698050699,0.61,Sin_clasificar
47,587199.328,517558,Altura,Residual_ajustado,2.6365277777777685,-0.10123345768252966,-2.224704109807857,1.8579873819925405,0.932,Sin_clasificar
48,587201.661,517560,Altura,Residual_ajustado,-1.6323611111111092,-1.1712113582921595,-2.124671484578464,1.8295915233388471,0.294,Sin_clasificar
49,587203.586,517562,Altura,Residual_ajustado,-4.206944444444441,-1.2753059444544963,-1.7660273466180836,1.8265587271502532,0.154,Sin_clasificar
50,587205.651,517563,Altura,Residual_ajustado,-4.125694444444445,-1.506838559140877,-1.9789853469118923,1.8560956711623617,0.102,Sin_clasificar
51,587207.621,517565,Altura,Residual_ajustado,-3.543055555555555,-2.180146241276762,-1.91531009108544,1.9132534446134923,0.02,Coldspot
52,587209.552,517567,Altura,Residual_ajustado,-3.4851388888888906,-0.09889406439609796,-2.0119598526416542,1.8315084794203154,0.862,Sin_clasificar
53,587211.663,517569,Altura,Residual_ajustado,4.573611111111118,0.6540371403160209,-1.9355811863648698,1.8151630207168616,0.554,Sin_clasificar
54,587213.632,517570,Altura,Residual_ajustado,-0.874027777777772,0.6319559605189339,-1.923578752392089,1.9421828195778283,0.592,Sin_clasificar
55,587215.742,517572,Altura,Residual_ajustado,-3.6673611111111093,0.9987358014624714,-2.1315482910305175,1.89460309446704,0.286,Sin_clasificar
56,587217.533,517574,Altura,Residual_ajustado,6.059305555555555,1.5165663959722158,-2.1637763788303914,1.7728948964779967,0.142,Sin_clasificar
1,587212.895,517579,Calcio_savia,Original,1200,-2.918887025948762,-1.7859807118016566,1.962299038582199,0.004,Coldspot
2,587211.104,517578,Calcio_savia,Original,1000,-2.918887025948762,-1.7859807118016566,1.962299038582199,0.004,Coldspot
3,587208.994,517576,Calcio_savia,Original,940,-2.665582092657067,-1.7701491534709257,2.0332244199038723,0.004,Coldspot
4,587207.025,517574,Calcio_savia,Original,1400,-0.8291213262922794,-1.7448186601417564,2.10288327655909,0.372,Sin_clasificar
5,587204.915,517572,Calcio_savia,Original,1600,0.26008988686200846,-1.9461960821086537,1.7799194866121775,0.798,Sin_clasificar
6,587202.983,517570,Calcio_savia,Original,1500,-0.49982491301307613,-2.0038229544325143,1.7799194866121775,0.672,Sin_clasificar
7,587201.014,517569,Calcio_savia,Original,1200,-0.753129846304771,-1.906933817448441,1.7799194866121775,0.546,Sin_clasificar
8,587198.948,517567,Calcio_savia,Original,1400,-0.753129846304771,-2.002556429766056,1.8077830292742645,0.49,Sin_clasificar
9,587197.023,517566,Calcio_savia,Original,1600,-0.11986751307553384,-2.077281385087106,1.906571953258025,0.968,Sin_clasificar
10,587194.69,517564,Calcio_savia,Original,1700,1.273309620028788,-1.8068783687982215,1.7799194866121775,0.238,Sin_clasificar
11,587193.167,517562,Calcio_savia,Original,2000,2.793139219778957,-1.9531619677741752,1.7799194866121775,0.004,Hotspot
