Nodo,X,Y,Variable,Escenario,Valor,Z,Rezago_Z,Moran_local,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_LISA
14,587187.054,517557,Altura,Residual_ajustado,6.901666666666671,1.8007924492983534,-0.6997041900316467,-1.2600220221514096,-1.1816213260716006,0.9718193081700313,0.028,Alto-Bajo
15,587188.6,517555,Altura,Residual_ajustado,3.7683333333333326,0.9832387654826307,-0.004348689807530351,-0.004275800397823041,-1.1159006541849674,0.9333135923429765,0.89,Sin_clasificar
16,587190.678,517557,Altura,Residual_ajustado,-5.551666666666668,-1.4485485748883875,-0.6482899928280321,0.9390795452254489,-1.1094675499264701,0.9576145700560419,0.066,Sin_clasificar
17,587192.647,517559,Altura,Residual_ajustado,-7.1301388888888955,-1.8604057387432504,-0.1172787282468368,0.21818601906292534,-0.9820822666417638,0.9148918507815806,0.54,Sin_clasificar
18,587194.713,517560,Altura,Residual_ajustado,2.756527777777774,0.7192370550838031,-0.6861235941535462,-0.49348551328251106,-1.0334406387345088,0.8949346405616461,0.228,Sin_clasificar
19,587196.236,517562,Altura,Residual_ajustado,0.25652777777777636,0.06693358395423878,0.19883478167889795,0.013308724552527254,-1.2526530831626825,0.9611417749324235,0.942,Sin_clasificar
20,587198.569,517564,Altura,Residual_ajustado,2.7763888888888895,0.7244192437711113,0.2695734692147272,0.19528420870928764,-1.1719501811961006,0.8287498354101263,0.484,Sin_clasificar
21,587200.494,517565,Altura,Residual_ajustado,-1.2656944444444465,-0.3302467518002076,0.5009781255979395,-0.165446398701676,-1.2105223215995375,0.886291279433296,0.542,Sin_clasificar
22,587202.56,517567,Altura,Residual_ajustado,0.20097222222222166,0.05243795126247089,0.09944004026552801,0.0052144319849819,-0.9186083805053227,0.9914443723123947,0.904,Sin_clasificar
23,587204.529,517569,Altura,Residual_ajustado,2.5281944444444377,0.6596600047206355,-0.6276699553239917,-0.4140487656920254,-0.9121239486075587,0.949355509726224,0.266,Sin_clasificar
24,587206.461,517570,Altura,Residual_ajustado,-7.393055555555555,-1.9290063204570411,0.028230244667217963,-0.05445632039111213,-1.1393173597676785,0.8725105943070501,0.816,Sin_clasificar
