Nodo,Variable,Original,Residual_ajustado,Clase_estable
27,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
28,Nitratos,Coldspot,Sin_clasificar,FALSE
29,Nitratos,Coldspot,Sin_clasificar,FALSE
30,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
31,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
32,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
33,Nitratos,Hotspot,Sin_clasificar,FALSE
34,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
35,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
36,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
37,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
38,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
39,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
40,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
41,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
42,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
43,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
44,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
45,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
46,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
47,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
48,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
49,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
50,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
51,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
52,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
53,Nitratos,Hotspot,Sin_clasificar,FALSE
54,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
55,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
56,Nitratos,Coldspot,Sin_clasificar,FALSE
1,Potasio_savia,Coldspot,Sin_clasificar,FALSE
2,Potasio_savia,Coldspot,Sin_clasificar,FALSE
3,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
4,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
5,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
6,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
7,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
8,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
