DX_m,DY_m,N_celdas,Correlacion,RMSE
-3.25,4.5,135026,0.751347797122575,0.2121567295611943
-3.25,4.75,134653,0.7454200306750058,0.2144748978179576
-3.25,5,134280,0.7391741392203691,0.2168973363270866
-3,-5,134640,0.7170744777744964,0.22598951392168423
-3,-4.75,135014,0.7206403053287667,0.2246720022447492
-3,-4.5,135388,0.7221903473339873,0.22414431889891961
-3,-4.25,135762,0.722997497502781,0.22391574851598378
-3,-4,136136,0.7237466552000945,0.2237142605769253
-3,-3.75,136510,0.724182932221705,0.22363999305154925
-3,-3.5,136884,0.7241802130546402,0.22374531833748207
-3,-3.25,136884,0.723766911839218,0.2239167197478819
-3,-3,137258,0.7239600959370146,0.2239479196219908
-3,-2.75,137632,0.7241530067598032,0.2239787750180863
-3,-2.5,138006,0.7241498472893516,0.2240915570495662
-3,-2.25,138380,0.7240022637941178,0.22426380802476203
-3,-2,138754,0.7239353123014531,0.2244078155686717
-3,-1.75,139128,0.7241826152342543,0.22443064506756139
-3,-1.5,139502,0.725075062240806,0.22420090783001648
-3,-1.25,139876,0.7267481956657454,0.22366353271558348
-3,-1,140250,0.7290687584348041,0.22286554544279985
-3,-0.75,140624,0.7317738218815285,0.2219102876703641
-3,-0.5,140998,0.7347792819260097,0.22083100603239433
-3,-0.25,141372,0.7379432590033048,0.21968092138487458
-3,0,141746,0.7408934467660735,0.21861448506964343
-3,0.25,141372,0.7431324035492747,0.21756245171918118
-3,0.5,140998,0.7451037402969353,0.21662203002660985
-3,0.75,140624,0.7473174721056217,0.21558472903591883
-3,1,140250,0.7499257884851963,0.21438391292696402
-3,1.25,139876,0.7530333300632039,0.21297279653185477
-3,1.5,139502,0.7568068920668286,0.2112745744753248
-3,1.75,139128,0.7607529283160763,0.20949190446346136
-3,2,138754,0.7642256926628231,0.20789943300464667
-3,2.25,138380,0.767080764229172,0.2065626720766889
-3,2.5,138006,0.7694181512014228,0.2054428519791109
-3,2.75,137632,0.7711470923732514,0.20458494904320088
-3,3,137258,0.7720888273467353,0.20406924419074524
-3,3.25,136884,0.7718604827131823,0.20406226616071957
-3,3.5,136884,0.7706562986301342,0.20456195305720554
-3,3.75,136510,0.7673973945133816,0.20585560346755588
-3,4,136136,0.7632314089190798,0.20751733362077246
-3,4.25,135762,0.758901117199617,0.20922785139168723
-3,4.5,135388,0.7543834201460113,0.2109992063060944
-3,4.75,135014,0.7488717814761053,0.21316388745755802
-3,5,134640,0.7423495589547425,0.2157183523328411
-2.75,-5,135000,0.72000201384542994,0.22495898082131485
-2.75,-4.75,135375,0.7257795609486191,0.22275845340149814
-2.75,-4.5,135750,0.7289526050868813,0.22157772296244643
-2.75,-4.25,136125,0.7303234848523436,0.22111785867739914
-2.75,-4,136500,0.7314351453597326,0.22076482710093942
-2.75,-3.75,136875,0.7326551281798598,0.22037128742851575
-2.75,-3.5,137250,0.7334521305965652,0.22015257383836184
-2.75,-3.25,137250,0.7334043919352203,0.2201816012817532
-2.75,-3,137625,0.7333946521677065,0.22028988713851594
-2.75,-2.75,138000,0.732917178574294,0.22058584172328508
-2.75,-2.5,138375,0.7320468023708215,0.22104389245717376
-2.75,-2.25,138750,0.7310387142507746,0.22155923039972442
-2.75,-2,139125,0.7301076505159226,0.2220469910157268
-2.75,-1.75,139500,0.7297115167621983,0.2223237791712113
-2.75,-1.5,139875,0.7302222030135395,0.222241024741414
-2.75,-1.25,140250,0.7315997604407724,0.22181373459228104
-2.75,-1,140625,0.7337235174254195,0.2210844866133754
-2.75,-0.75,141000,0.7364287831915187,0.22011731112497362
-2.75,-0.5,141375,0.7393017835872061,0.21907904924211974
-2.75,-0.25,141750,0.7423336199833342,0.21796978859004035
-2.75,0,142125,0.745448257966,0.21682274177161612
-2.75,0.25,141750,0.7479898499355113,0.21563959932813115
-2.75,0.5,141375,0.7500775195382827,0.21464574090147603
-2.75,0.75,141000,0.7521886035529721,0.2136451301871206
-2.75,1,140625,0.7544928075547918,0.2125641820011298
-2.75,1.25,140250,0.7571137023203643,0.2113489784344451
-2.75,1.5,139875,0.7604161792112605,0.20983981157940218
-2.75,1.75,139500,0.7644832558920805,0.20799510700614593
-2.75,2,139125,0.7685573519742305,0.20613445784533227
-2.75,2.25,138750,0.7719078971620713,0.2045742708148748
-2.75,2.5,138375,0.7743395457734874,0.20340562313545618
-2.75,2.75,138000,0.7756448058568374,0.20272738055446143
-2.75,3,137625,0.7756084676501364,0.2026371253117853
