X,Y,Densidad_nodos_m2,Grupo
587187.0700745797,517558.75268376956,0.12950963562537884,D100
587187.0700745797,517558.856718707,0.12796737420933108,D100
587187.1738788038,517554.79935614637,0.16011875990185648,D100
587187.1738788038,517554.9033910838,0.16028527972979886,D100
587187.1738788038,517555.0074260213,0.1603619839219499,D100
587187.1738788038,517555.1114609587,0.16035682817281033,D100
587187.1738788038,517555.2154958962,0.16027722096549557,D100
587187.1738788038,517555.3195308336,0.1601299127129258,D100
587187.1738788038,517555.4235657711,0.15992091122533725,D100
587187.1738788038,517555.52760070853,0.15965542482579917,D100
587187.1738788038,517555.631635646,0.15933783350604386,D100
587187.1738788038,517555.73567058344,0.15897168758834423,D100
587187.1738788038,517555.8397055209,0.15855973247025815,D100
587187.1738788038,517555.94374045834,0.15810395721068976,D100
587187.1738788038,517556.0477753958,0.15760566399731288,D100
587187.1738788038,517556.15181033325,0.15706555494169322,D100
587187.1738788038,517556.2558452707,0.15648383219846324,D100
587187.1738788038,517556.35988020815,0.15586030711136706,D100
587187.1738788038,517556.4639151456,0.1551945139579157,D100
587187.1738788038,517556.56795008306,0.15448582389515642,D100
587187.1738788038,517556.6719850205,0.1537335548947124,D100
587187.1738788038,517556.77601995796,0.15293707378310348,D100
587187.1738788038,517556.8800548954,0.1520958869558457,D100
587187.1738788038,517556.98408983287,0.15120971688947257,D100
587187.1738788038,517557.0881247703,0.15027856221012154,D100
587187.1738788038,517557.1921597078,0.14930273976471847,D100
587187.1738788038,517557.2961946452,0.14828290785450834,D100
587187.1738788038,517557.4002295827,0.147220070504622,D100
587187.1738788038,517557.50426452013,0.1461155633328262,D100
587187.1738788038,517557.6082994576,0.14497102222304692,D100
587187.1738788038,517557.71233439504,0.1437883365849855,D100
587187.1738788038,517557.8163693325,0.1425695894737696,D100
587187.1738788038,517557.92040426994,0.14131698724036126,D100
587187.1738788038,517558.0244392074,0.14003278167544841,D100
587187.1738788038,517558.12847414485,0.13871918779173187,D100
587187.1738788038,517558.2325090823,0.13737830046060115,D100
587187.1738788038,517558.33654401975,0.13601201308151079,D100
587187.1738788038,517558.4405789572,0.13462194132156577,D100
587187.1738788038,517558.54461389466,0.13320935472751286,D100
587187.1738788038,517558.6486488321,0.13177511869369402,D100
587187.1738788038,517558.75268376956,0.13031964888079675,D100
587187.1738788038,517558.856718707,0.12884287973631187,D100
587187.1738788038,517558.96075364447,0.12734424828440943,D100
587187.277683028,517554.6953212089,0.16157614314800933,D100
587187.277683028,517554.79935614637,0.16176504605990188,D100
587187.277683028,517554.9033910838,0.1618483964860403,D100
587187.277683028,517555.0074260213,0.16183545972576754,D100
587187.277683028,517555.1114609587,0.1617351866638224,D100
587187.277683028,517555.2154958962,0.16155606131619363,D100
587187.277683028,517555.3195308336,0.16130597127350363,D100
587187.277683028,517555.4235657711,0.16099210374188896,D100
587187.277683028,517555.52760070853,0.1606208689843183,D100
587187.277683028,517555.631635646,0.16019785201798187,D100
587187.277683028,517555.73567058344,0.15972779246245755,D100
587187.277683028,517555.8397055209,0.1592145914959118,D100
587187.277683028,517555.94374045834,0.15866134399842846,D100
587187.277683028,517556.0477753958,0.15807039317555824,D100
587187.277683028,517556.15181033325,0.1574434042898077,D100
587187.277683028,517556.2558452707,0.156781453605892,D100
587187.277683028,517556.35988020815,0.1560851282935,D100
587187.277683028,517556.4639151456,0.1553546328383425,D100
587187.277683028,517556.56795008306,0.154589897490419,D100
587187.277683028,517556.6719850205,0.15379068442276295,D100
587187.277683028,517556.77601995796,0.15295668757289116,D100
587187.277683028,517556.8800548954,0.15208762257554645,D100
587187.277683028,517556.98408983287,0.1511833037471345,D100
587187.277683028,517557.0881247703,0.15024370572401663,D100
587187.277683028,517557.1921597078,0.14926900806072915,D100
587187.277683028,517557.2961946452,0.14825962183141098,D100
587187.277683028,517557.4002295827,0.14721619801955935,D100
587187.277683028,517557.50426452013,0.1461396182002796,D100
587187.277683028,517557.6082994576,0.1450309686902867,D100
587187.277683028,517557.71233439504,0.1438914999419361,D100
