Variable_suelo,Variable_cultivo,n_original,Pearson_original,Spearman_original,n_residual,Pearson_residual,Spearman_residual,Cambio_abs_Spearman,Estabilidad_direccion,Magnitud_residual,Moran_bivariado_residual,Moran_Q025,Moran_Q975,Clasificacion_Moran,Coherencia_correlacion_espacial,Prioridad_interpretacion,Suelo_etiqueta,Cultivo_etiqueta,Magnitud_Spearman_residual,Magnitud_Moran_residual,Puntuacion_integrada,Rango
Suelo_N,Macollas,56,0.5014243387434186,0.5187038852717736,56,0.07678257527399761,0.10218728639781272,-0.41651659887396086,Dirección estable,Muy limitada,0.04047907281460204,-0.17973831691102807,0.18125154409219238,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil N index,Tillers,0.10218728639781272,0.04047907281460204,0.07750400096452845,35
Suelo_T,Calcio_savia,56,-0.09882654362803968,-0.11075549714492564,56,0.08863681721095087,0.09593465371622359,-0.014820843428702046,Dirección cambia tras ajuste,Muy limitada,0.043305001797133286,-0.15851386009146573,0.1557316160414205,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil temperature,Sap calcium,0.09593465371622359,0.043305001797133286,0.07488279294858746,36
Suelo_P,Macollas,56,0.4994698930395495,0.514212794130293,56,0.0697778723524262,0.0876965140123035,-0.4265162801179895,Dirección estable,Muy limitada,0.034532417539959975,-0.18312595385099806,0.1628791835171857,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil P index,Tillers,0.0876965140123035,0.034532417539959975,0.06643087542336609,37
Suelo_K,Macollas,56,0.4961772379480553,0.5146927580690771,56,0.07326959344835782,0.08386876281613123,-0.4308239952529459,Dirección estable,Muy limitada,0.03906134688506756,-0.17005962020873042,0.16066376192421392,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil K index,Tillers,0.08386876281613123,0.03906134688506756,0.06594579644370577,38
Suelo_Hv,Macollas,56,0.09425978885239603,0.07528577211214904,56,0.12073659702221749,-0.04395078605604921,-0.03133498605609983,Dirección cambia tras ajuste,Muy limitada,-0.09881597895805568,-0.11966134358916519,0.11289773693006562,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil moisture index,Tillers,0.04395078605604921,0.09881597895805568,0.0658968632168518,39
Suelo_CE_corregida_OLS,Macollas,56,0.49697803099399984,0.5099616849582044,56,0.06999540869109666,0.08646616541353383,-0.4234955195446706,Dirección estable,Muy limitada,0.033138412119929926,-0.16943165797656978,0.1713554122682906,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,OLS-corrected soil EC,Tillers,0.08646616541353383,0.033138412119929926,0.06513506409609227,40
Suelo_CE,Macollas,56,0.4969780309940044,0.5099616849582044,56,0.06999540869110793,0.08646616541353383,-0.4234955195446706,Dirección estable,Muy limitada,0.033138412119928594,-0.18293661330119906,0.17158373860522178,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil EC,Tillers,0.08646616541353383,0.033138412119928594,0.06513506409609174,41
Suelo_Hv,Potasio_savia,56,0.1293602945324166,-0.05845055680892751,56,0.007224660128567885,0.022898154477101845,-0.03555240233182566,Dirección cambia tras ajuste,Muy limitada,-0.11771239136280925,-0.12116069055656037,0.1149850538040042,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil moisture index,Sap potassium,0.022898154477101845,0.11771239136280925,0.06082384923138481,42
Suelo_T,Potasio_savia,56,-0.061597916117680736,-0.07825441545763635,56,0.0047251526153966545,-0.09856459330143541,0.020310177843799057,Dirección estable,Muy limitada,3.9130780917606364e-5,-0.1430196105735744,0.15387786565841347,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil temperature,Sap potassium,0.09856459330143541,3.9130780917606364e-5,0.05915440829322828,43
Suelo_Hv,Calcio_savia,56,-0.007254637388651958,0.0052822380180608695,56,-0.07559349559923606,-0.0796322562019241,0.07435001818386323,Dirección cambia tras ajuste,Muy limitada,0.024598475319835264,-0.11321219173815175,0.11341197427984458,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil moisture index,Sap calcium,0.0796322562019241,0.024598475319835264,0.05761874384908856,44
Suelo_Hv,NDVI,56,0.059871207731670706,-0.10175190416570444,56,0.03987560671333707,-0.07580314422419686,-0.025948759941507582,Dirección estable,Muy limitada,-0.023779990385072548,-0.11564344772673135,0.12112621662588555,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil moisture index,NDVI,0.07580314422419686,0.023779990385072548,0.05499388268854714,45
Suelo_N,Altura,56,-0.13940489602424969,-0.1343518234490552,56,0.04175265911430587,0.06473000683527,-0.06962181661378519,Dirección cambia tras ajuste,Muy limitada,-0.018270041198085948,-0.1747846373486522,0.1709299965376733,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil N index,Plant height,0.06473000683527,0.018270041198085948,0.04614602058039638,46
Suelo_K,Altura,56,-0.13597643715353813,-0.13069482901785479,56,0.039274227788805204,0.06274777853725222,-0.06794705048060257,Dirección cambia tras ajuste,Muy limitada,-0.01742858133097855,-0.17590983329969778,0.1848156117927957,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil K index,Plant height,0.06274777853725222,0.01742858133097855,0.04462009965474275,47
Suelo_P,Altura,56,-0.1371265607403571,-0.13165179952321562,56,0.04152512788524022,0.05714285714285714,-0.07450894238035849,Dirección cambia tras ajuste,Muy limitada,-0.016548655696618154,-0.17126606500517577,0.1780247557828212,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil P index,Plant height,0.05714285714285714,0.016548655696618154,0.040905176564361545,48
Suelo_T,Nitratos,56,0.14637253385022736,0.08973621894353347,56,0.10214803241996324,0.06404647983595352,-0.025689739107579948,Dirección estable,Muy limitada,0.003912573147117848,-0.1456127414844128,0.14047395312293703,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil temperature,Sap nitrate,0.06404647983595352,0.003912573147117848,0.03999291716041925,49
Suelo_CE,Altura,56,-0.13833448997330142,-0.1281315151642096,56,0.03599044714181764,0.052289815447710185,-0.0758416997164994,Dirección cambia tras ajuste,Muy limitada,-0.01825609281569754,-0.17597457686073883,0.18017942966300068,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil EC,Plant height,0.052289815447710185,0.01825609281569754,0.038676326394905126,50
Suelo_CE_corregida_OLS,Altura,56,-0.13833448997330935,-0.1281315151642096,56,0.035990447141804896,0.052289815447710185,-0.0758416997164994,Dirección cambia tras ajuste,Muy limitada,-0.018256092815697508,-0.16791699812694852,0.16353769898785103,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,OLS-corrected soil EC,Plant height,0.052289815447710185,0.018256092815697508,0.03867632639490511,51
Suelo_pH,Nitratos,56,-0.13760435715829364,-0.12515841063177036,56,0.04583811491693976,0.036295283663704714,-0.08886312696806564,Dirección cambia tras ajuste,Muy limitada,-0.03226663382625198,-0.1279795185402181,0.11487078534395215,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil pH,Sap nitrate,0.036295283663704714,0.03226663382625198,0.034683823728723626,52
Suelo_Hv,Diametro,56,0.16969201572458126,0.06956551663974903,56,0.0545593329350841,0.020027341079972658,-0.04953817555977637,Dirección estable,Muy limitada,0.053511628331695586,-0.11633295833820025,0.11370550376500553,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil moisture index,Stem diameter,0.020027341079972658,0.053511628331695586,0.03342105598066183,53
Suelo_T,NDVI,56,-0.07930143841665847,-0.060385961512026846,56,-0.07933962402701848,0.010526315789473684,-0.049859645722553164,Dirección cambia tras ajuste,Muy limitada,-0.0620940508678257,-0.15899732715725381,0.14809291460687243,Compatible con la referencia permutada,Dirección no coincidente,Baja: evidencia débil,Soil temperature,NDVI,0.010526315789473684,0.0620940508678257,0.031153409820814493,54
Suelo_T,Macollas,56,0.1917629959124316,0.21900068863953007,56,-0.05504741045960613,-0.0026657552973342446,-0.21633493334219583,Dirección cambia tras ajuste,Muy limitada,-0.06660654753761962,-0.15631714873838615,0.1474354971517008,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil temperature,Tillers,0.0026657552973342446,0.06660654753761962,0.028242072193448396,55
Suelo_pH,Potasio_savia,56,-0.3225875888912326,-0.28175021775953374,56,-0.06892536401403983,-0.030485304169514695,-0.25126491359001907,Dirección estable,Muy limitada,-0.023502634133949343,-0.11262516328619893,0.12178048558636516,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil pH,Sap potassium,0.030485304169514695,0.023502634133949343,0.027692236155288555,56
