Nodo,X,Y,Replication,Dose_percent,Omission_description,Suelo_CE,Suelo_CE_corregida_OLS,Suelo_N,Suelo_P,Suelo_K,Suelo_pH,Suelo_T,Suelo_Hv,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,RES_Suelo_CE,RES_Suelo_CE_corregida_OLS,RES_Suelo_N,RES_Suelo_P,RES_Suelo_K,RES_Suelo_pH,RES_Suelo_T,RES_Suelo_Hv,RES_Macollas,RES_Altura,RES_Diametro,RES_NDVI,RES_Nitratos,RES_Potasio_savia,RES_Calcio_savia
21,587200.494,517565,2,100,Sin Mo,200.32890913760988,453.059184170717,13.671251145031947,19.499108760555256,39.7143568280938,9.06164002492853,16.222399562334573,14.770859378318859,6.666666666666667,45.9,3.622222222222222,0.72,4500,5600,1300,0.8255337182414157,0.7679940180805733,-0.06211565197244168,0.007843876985756781,-0.08482594415077205,0.67199845124698,-0.23642226254971163,0.03776403530430542,-0.02986111111111045,-1.2656944444444465,0.08226851851851803,0.0017500000000000276,-370.0000000000001,483.12500000000006,-163.64583333333331
22,587202.56,517567,2,100,Sin Mg y S,228.71581992531452,479.46752727652085,16.016362224247217,22.510711138719692,45.32212661886285,6.798711077414722,16.249920116280524,14.769496169007805,7,46.03333333333333,5.233333333333333,0.7,4600,4700,1200,6.46379561109554,6.013269057003225,0.5857208166534948,0.7338815646366859,1.1272168249003118,-0.917403021073956,-0.25096763059048793,-0.1350490200849902,0.10347222222222212,0.20097222222222166,1.435601851851852,-0.006250000000000002,30.00000000000005,-216.87500000000003,-195.64583333333331
23,587204.529,517569,1,75,Sin Cu,179.35144908473524,433.543853083527,12.563214588997907,17.648656674545162,35.44873722959188,8.670240740899265,16.38293786938734,14.80213411241923,6.333333333333333,45.06666666666666,3.055555555555556,0.7,5800,4400,1500,-51.264937807597256,-47.69177164241107,-3.594595873203471,-5.014589113219836,-10.236861231291366,1.216134040644348,-0.041455199684659896,0.1030388738959706,-0.5243055555555552,2.5281944444444377,0.026898148148148136,0.01024999999999997,220.00000000000037,13.124999999999709,68.02083333333297
24,587206.461,517570,1,75,Sin Zn,266.9609037597214,515.0469287676699,18.452394886895814,26.200105430127255,52.566904640460635,7.066919836938569,16.513726474009,14.771244702156883,6.333333333333333,38.733333333333334,2.833333333333333,0.67,5600,4400,1600,2.924150774857984,2.7203374658515913,0.15335151834056734,0.21891947741252737,0.35819469416236405,-0.37693490339377195,-0.16072790415717997,0.15128090825994386,-0.8472222222222227,-7.393055555555555,-0.26990740740740765,-0.01624999999999996,300.0000000000001,-25.00000000000009,108.33333333333323
25,587208.571,517572,1,75,Control,256.1258580393511,504.9670857340086,17.726247836111167,25.326578967775372,50.507535519646744,7.020968261576204,16.337856589118964,14.774673330269287,6.333333333333333,41.9,2.844444444444444,0.66,5000,4300,1600,30.598250080977017,28.465552050334022,2.0903338834467613,3.1592064869067062,5.953076815754215,-0.7704332440291126,-0.2447108808403785,0.027794866669506244,-0.5243055555555561,-1.1384722222222237,-0.23087962962963018,0.008249999999999967,759.9999999999994,413.1249999999998,260.0208333333334
26,587210.54,517574,1,100,Sin B,289.3965930392144,535.9188505043825,20.31907248702906,28.36166907241274,57.3018633136179,8.589729757483079,16.306028690856877,14.740244243031377,7.666666666666667,40.93333333333333,3.511111111111111,0.71,4600,4400,1200,10.201632161476681,9.490578399819114,0.8693065451886468,0.8706810099122909,1.8970599365462202,-0.43672527838625963,-0.12440539887675486,-0.025228165370631654,0.06944444444444381,-1.6652777777777792,-0.0018518518518519551,0.002916666666666676,-183.3333333333342,249.99999999999943,228.33333333333317
27,587212.65,517576,1,100,Completo,351.43520700006127,593.6333730721611,24.674324396962845,34.762463810698314,70.29822852883609,8.532817089257899,16.29326404711778,14.818866518158394,7,46.300000000000004,3.411111111111111,0.72,4000,4200,750,17.993936974853476,16.73975956770465,1.418097495298292,1.9518773547310075,4.309844763129509,0.4604469379208786,-0.24844990618658602,-0.0125133461828092,-1.4743055555555564,3.539305555555555,0.05384259259259251,0.016416666666666694,-893.3333333333339,28.124999999999176,-366.47916666666663
28,587214.441,517577,1,100,Sin N,333.52374826493326,576.9703430108742,23.115512683275966,32.88484736563646,66.53310510692116,8.598419743679832,16.553360689663215,14.785946992859733,9.333333333333334,44.300000000000004,3.6222222222222222,0.7,3600,3200,1200,63.77171389938574,59.326825440602036,4.257589737339775,6.437932910368955,12.709666611019632,0.05695425976024784,0.027265633739112973,-0.20822871710711663,1.3923611111111112,3.399305555555558,0.3493981481481481,0.020416666666666663,266.66666666666583,-831.8750000000005,73.52083333333324
29,587215.987,517575,1,100,Sin Zn,330.833363690577,574.4674782413472,23.051969831657853,32.599996026109245,65.97664102156239,8.54937924767802,16.555892325811563,14.278038013040021,9.333333333333334,50.6,3.577777777777778,0.73,3600,4100,950,23.910666330178927,22.24409288696621,1.7225529193929245,2.346770838755185,5.166309986728996,0.21907508443327883,-0.081592904545125,-0.3814913875504063,1.0694444444444442,5.418055555555559,0.27037037037037065,0.027916666666666704,-733.3333333333342,-250.00000000000077,-84.16666666666687
30,587214.196,517574,1,100,Control,287.7751290165133,534.410402524065,20.266920604752585,28.378436944740066,57.024401066147774,8.67311239861547,16.59755296532245,14.758842554034423,8.666666666666666,43.4,3.333333333333334,0.67,2200,3700,780,19.36157668260453,18.01207478782779,1.600633108378498,1.9390252292320669,3.868321273720122,-0.004738529902248628,0.051954643172600956,-0.02760151625884618,0.7256944444444431,1.3059722222222223,0.05384259259259293,0.0024166666666666967,-1073.3333333333342,-111.8750000000006,-102.47916666666673
31,587212.086,517572,1,100,Sin Mg y S,264.7594785419162,512.9989428875452,18.63539592107022,26.282479916542062,52.72037646258289,8.693843336757977,17.13188575892372,15.473366317610523,9.333333333333334,44.6,3.488888888888889,0.69,5800,4600,1000,-18.888119088747317,-17.57161718826476,-1.212106520597294,-1.7287375121408601,-3.5692003785098825,0.6125620660597169,0.4515051991256057,0.5875837320922229,0.3256944444444445,-0.20736111111110955,-0.29726851851851865,-0.009583333333333333,1146.6666666666658,108.1249999999994,53.52083333333313
32,587210.117,517570,1,75,Sin K,193.102799608652,446.33673447592827,13.585240219156278,18.522970665932903,37.89851268036552,6.6933551093884605,17.217162578176637,13.192515236975582,7,44.5,3.077777777777778,0.67,5200,4200,1300,-52.52560695647043,-48.86457215160735,-3.5090044670062293,-5.571756536560703,-10.79048656091923,-0.8473756267216206,0.6571560811729612,-1.1296400517324932,-0.34722222222222543,5.3902777777778015,0.0773148148148146,-0.006249999999999753,-175.000000000004,199.999999999996,-254.16666666666728
33,587208.007,517569,1,75,Sin Mn,242.41409310091885,492.2110308117851,16.732262330262238,23.650899525702513,47.93557930942905,6.6013683990650165,16.88959875188627,14.962808925389428,6.666666666666667,40.800000000000004,3.0444444444444443,0.68,5200,4700,1400,11.49476591378184,10.693580729590668,0.6588420495158585,1.0384444449089145,2.1078425207146436,-0.5481994968646127,0.27906682133727706,0.2692073759361937,-0.6576388888888888,-3.751805555555551,-0.21754629629629638,-0.013749999999999955,-380.0000000000001,553.1249999999999,-103.97916666666671
34,587206.075,517567,1,75,Sin Mo,208.2163027681082,460.3968264651701,14.341133983357802,20.624922736594954,41.43281521066445,8.638052762327872,17.266533371940447,14.756739558849672,7,42.06666666666666,3.2222222222222228,0.69,5800,4400,1500,-9.796701592170182,-9.113871491196075,-0.7787203040106971,-0.8286907669351271,-1.8594135201752295,0.7696934393491417,0.591249586319568,0.0819724261031022,-0.7243055555555554,-5.018472222222227,-0.10199074074074034,-0.0057500000000000355,-120.00000000000003,-366.87499999999983,28.02083333333326
