Variable_suelo,Variable_cultivo,Escenario,Clase_distancia,n_pares,Distancia_media_m,Asociacion_cruzada_media,DE_asociacion
Suelo_CE_corregida_OLS,Potasio_savia,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,-0.009680462240442262,0.715043075592819
Suelo_CE_corregida_OLS,Potasio_savia,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.039617235622241925,0.7150197593823824
Suelo_CE_corregida_OLS,Potasio_savia,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.10321762079157397,0.7702209225238199
Suelo_CE_corregida_OLS,Potasio_savia,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,-0.05692363755654244,0.7115809848273379
Suelo_Hv,Altura,Original,"[1.82,5.4]",257,3.6451846732626887,0.08186196148194574,0.6615331304210956
Suelo_Hv,Altura,Original,"(5.4,8.07]",259,6.701124478376243,0.06142774643807521,0.7062786531079694
Suelo_Hv,Altura,Original,"(8.07,11.2]",254,9.731098454161252,0.022456106163860536,0.6208238430432208
Suelo_Hv,Altura,Original,"(11.2,15.9]",257,13.789795449215488,-0.050313594387260865,0.49902474463541896
Suelo_Hv,Altura,Original,"(15.9,21.8]",258,18.87249627748128,0.014270146487251875,0.5551763886110194
Suelo_Hv,Altura,Original,"(21.8,34.9]",255,26.95148510136917,-0.13550430572974967,0.998426257800308
Suelo_Hv,Altura,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.016307438198471233,0.746293306310961
Suelo_Hv,Altura,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.010997736029482268,0.6918059263675098
Suelo_Hv,Altura,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,0.05751392771380534,0.6891462359260903
Suelo_Hv,Altura,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.03141684872787397,0.5501958409552702
Suelo_Hv,Altura,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,-0.026059171433827674,0.6828922562415622
Suelo_Hv,Altura,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.020145144333989073,0.8470706162011772
Suelo_Hv,Calcio_savia,Original,"[1.82,5.4]",257,3.6451846732626887,0.07121008537881088,0.6947231206179647
Suelo_Hv,Calcio_savia,Original,"(5.4,8.07]",259,6.701124478376243,0.14840220878288798,0.8419533962724899
Suelo_Hv,Calcio_savia,Original,"(8.07,11.2]",254,9.731098454161252,0.014618747012344927,0.41186018756180726
Suelo_Hv,Calcio_savia,Original,"(11.2,15.9]",257,13.789795449215488,-0.02069145801100107,0.4854729177089197
Suelo_Hv,Calcio_savia,Original,"(15.9,21.8]",258,18.87249627748128,0.0024707332607195468,0.7264149404463563
Suelo_Hv,Calcio_savia,Original,"(21.8,34.9]",255,26.95148510136917,-0.21792379491179778,0.8421989694259304
Suelo_Hv,Calcio_savia,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,-0.021002050776134044,0.7552131699057351
Suelo_Hv,Calcio_savia,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,0.015733876462926608,0.6407818655506581
Suelo_Hv,Calcio_savia,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,0.0212228528844372,0.6139421946306103
Suelo_Hv,Calcio_savia,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.019058815062225808,0.6314433277933251
Suelo_Hv,Calcio_savia,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.002007853210649303,0.618456079259579
Suelo_Hv,Calcio_savia,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.009375525037431017,0.7958080092560941
Suelo_Hv,Diametro,Original,"[1.82,5.4]",257,3.6451846732626887,0.059389903321285284,0.5942574160591862
Suelo_Hv,Diametro,Original,"(5.4,8.07]",259,6.701124478376243,-0.02524278153834172,0.4915285248697563
Suelo_Hv,Diametro,Original,"(8.07,11.2]",254,9.731098454161252,-0.04177509864426728,0.970682112443435
Suelo_Hv,Diametro,Original,"(11.2,15.9]",257,13.789795449215488,0.04631046454712144,0.9814468774415399
Suelo_Hv,Diametro,Original,"(15.9,21.8]",258,18.87249627748128,-0.034944711919783794,0.405107423741242
Suelo_Hv,Diametro,Original,"(21.8,34.9]",255,26.95148510136917,-0.022223662059717254,0.5516692101090654
Suelo_Hv,Diametro,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.07052010655953814,0.6197635426727828
Suelo_Hv,Diametro,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.0640158783124636,0.606013531089362
Suelo_Hv,Diametro,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,-0.0487345337852055,0.9097273198095022
Suelo_Hv,Diametro,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,0.07873903366460429,0.8572196180466314
Suelo_Hv,Diametro,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,-0.07157654866204663,0.5044099391037047
Suelo_Hv,Diametro,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.02966844284650541,0.5101413695375336
Suelo_Hv,Macollas,Original,"[1.82,5.4]",257,3.6451846732626887,-0.031072989738404565,0.6745535977485224
Suelo_Hv,Macollas,Original,"(5.4,8.07]",259,6.701124478376243,-0.08100345593037726,0.7539851138310936
Suelo_Hv,Macollas,Original,"(8.07,11.2]",254,9.731098454161252,-0.02714469502352556,0.6098162234890621
Suelo_Hv,Macollas,Original,"(11.2,15.9]",257,13.789795449215488,-0.030834396788706576,0.6862718713751323
Suelo_Hv,Macollas,Original,"(15.9,21.8]",258,18.87249627748128,0.004002612863013114,0.6122404598931133
Suelo_Hv,Macollas,Original,"(21.8,34.9]",255,26.95148510136917,0.15749030449926466,0.8042289867756646
Suelo_Hv,Macollas,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,-0.02866549237263495,0.6149103232343783
Suelo_Hv,Macollas,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,0.014366990893389957,0.7428243939345288
