Variable_suelo,Variable_cultivo,Escenario,Moran_bivariado,Sim_Q025,Sim_Mediana,Sim_Q975,p_Monte_Carlo_informativo,Clasificacion
Suelo_K,Macollas,Residual_ajustado,0.03906134688506756,-0.17005962020873042,4.452259172878246e-4,0.16066376192421392,0.657,Compatible con la referencia permutada
Suelo_K,NDVI,Original,0.018765819731446073,-0.2196399039832614,-0.0028853716889364577,0.19259648623315573,0.856,Compatible con la referencia permutada
Suelo_K,NDVI,Residual_ajustado,0.2260477296569394,-0.1676905873494151,0.004033173338033993,0.17702471915744583,0.011,Asociación espacial positiva mayor que la referencia
Suelo_K,Nitratos,Original,-0.18813707420486217,-0.2183539558526763,-0.0011912613401535562,0.21373763850094218,0.095,Compatible con la referencia permutada
Suelo_K,Nitratos,Residual_ajustado,-0.047571638549729574,-0.18036323329681472,-0.0011345947350511955,0.17072099052622047,0.616,Compatible con la referencia permutada
Suelo_K,Potasio_savia,Original,-0.4675554077917657,-0.2171145480887501,0.006317941736203427,0.22028187019458756,0.001,Asociación espacial negativa menor que la referencia
Suelo_K,Potasio_savia,Residual_ajustado,-0.24118505220013764,-0.16914208766727254,3.7439413322482175e-4,0.17193803586247774,0.005,Asociación espacial negativa menor que la referencia
Suelo_N,Altura,Original,-0.1405924160558116,-0.22169345319353936,0.00335273436010642,0.20237538639413796,0.185,Compatible con la referencia permutada
Suelo_N,Altura,Residual_ajustado,-0.018270041198085948,-0.1747846373486522,-0.0028155595605558834,0.1709299965376733,0.856,Compatible con la referencia permutada
Suelo_N,Calcio_savia,Original,-0.48955454902734385,-0.22103951648656447,-7.99508972261834e-4,0.21651718283753196,0.001,Asociación espacial negativa menor que la referencia
Suelo_N,Calcio_savia,Residual_ajustado,0.02945548409202688,-0.17524265531268157,0.0036635170748930378,0.17467535561584566,0.758,Compatible con la referencia permutada
Suelo_N,Diametro,Original,0.03635721221737167,-0.2013393417294712,-0.008263389375661975,0.22341086224819998,0.666,Compatible con la referencia permutada
Suelo_N,Diametro,Residual_ajustado,0.07840975072477384,-0.1832104091776985,-0.0043475302150818435,0.1657734975483153,0.367,Compatible con la referencia permutada
Suelo_N,Macollas,Original,0.4405703808117531,-0.2191682950202283,-9.570996968853065e-4,0.2091501739317935,0.001,Asociación espacial positiva mayor que la referencia
Suelo_N,Macollas,Residual_ajustado,0.04047907281460204,-0.17973831691102807,-5.873126383933226e-4,0.18125154409219238,0.649,Compatible con la referencia permutada
Suelo_N,NDVI,Original,0.014518394706842111,-0.2067489819161148,2.448522555241028e-4,0.19710877110729175,0.899,Compatible con la referencia permutada
Suelo_N,NDVI,Residual_ajustado,0.22605842944438503,-0.1576953325173375,-0.002410647610186596,0.17769763497471647,0.009,Asociación espacial positiva mayor que la referencia
Suelo_N,Nitratos,Original,-0.18168712449563237,-0.21530350951964872,0.0032802337085067186,0.21482300231021462,0.102,Compatible con la referencia permutada
Suelo_N,Nitratos,Residual_ajustado,-0.04581893917729063,-0.16277638263271013,-0.004621308498907118,0.16909614148639293,0.654,Compatible con la referencia permutada
Suelo_N,Potasio_savia,Original,-0.4695350485218294,-0.20642792279894026,0.0019295019018606653,0.21747730316155534,0.001,Asociación espacial negativa menor que la referencia
Suelo_N,Potasio_savia,Residual_ajustado,-0.23858349271597154,-0.17080094678662658,0.002180756427346203,0.17411983165359646,0.009,Asociación espacial negativa menor que la referencia
Suelo_P,Altura,Original,-0.14096836390630366,-0.2054711709605612,-0.0010797229286244982,0.2131192736918698,0.204,Compatible con la referencia permutada
Suelo_P,Altura,Residual_ajustado,-0.016548655696618154,-0.17126606500517577,-1.9557295193088688e-4,0.1780247557828212,0.854,Compatible con la referencia permutada
Suelo_P,Calcio_savia,Original,-0.49084610318436167,-0.20374899829678864,-0.0050214374030291276,0.21611973726344247,0.001,Asociación espacial negativa menor que la referencia
