Nodo,Respuesta,Modelo_ID,Tipo_modelo,Replication_excluida,Observado,Predicho,Residuo
22,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
35,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
36,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
37,NDVI,M1_Tratamientos,M1,2,0.67,NA,NA
38,NDVI,M1_Tratamientos,M1,2,0.67,NA,NA
39,NDVI,M1_Tratamientos,M1,2,0.69,NA,NA
40,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
45,NDVI,M1_Tratamientos,M1,2,0.67,NA,NA
46,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
47,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
48,NDVI,M1_Tratamientos,M1,2,0.72,NA,NA
49,NDVI,M1_Tratamientos,M1,2,0.72,NA,NA
50,NDVI,M1_Tratamientos,M1,2,0.68,NA,NA
13,NDVI,M1_Tratamientos,M1,3,0.67,NA,NA
14,NDVI,M1_Tratamientos,M1,3,0.72,NA,NA
15,NDVI,M1_Tratamientos,M1,3,0.72,NA,NA
16,NDVI,M1_Tratamientos,M1,3,0.71,NA,NA
41,NDVI,M1_Tratamientos,M1,3,0.7,NA,NA
42,NDVI,M1_Tratamientos,M1,3,0.7,NA,NA
43,NDVI,M1_Tratamientos,M1,3,0.72,NA,NA
44,NDVI,M1_Tratamientos,M1,3,0.71,NA,NA
1,Nitratos,M1_Tratamientos,M1,1,4900,NA,NA
2,Nitratos,M1_Tratamientos,M1,1,5500,NA,NA
3,Nitratos,M1_Tratamientos,M1,1,5400,NA,NA
4,Nitratos,M1_Tratamientos,M1,1,6100,NA,NA
5,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
6,Nitratos,M1_Tratamientos,M1,1,4100,NA,NA
23,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
24,Nitratos,M1_Tratamientos,M1,1,5600,NA,NA
25,Nitratos,M1_Tratamientos,M1,1,5000,NA,NA
26,Nitratos,M1_Tratamientos,M1,1,4600,NA,NA
27,Nitratos,M1_Tratamientos,M1,1,4000,NA,NA
28,Nitratos,M1_Tratamientos,M1,1,3600,NA,NA
29,Nitratos,M1_Tratamientos,M1,1,3600,NA,NA
30,Nitratos,M1_Tratamientos,M1,1,2200,NA,NA
31,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
32,Nitratos,M1_Tratamientos,M1,1,5200,NA,NA
33,Nitratos,M1_Tratamientos,M1,1,5200,NA,NA
34,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
51,Nitratos,M1_Tratamientos,M1,1,4800,NA,NA
52,Nitratos,M1_Tratamientos,M1,1,5900,NA,NA
53,Nitratos,M1_Tratamientos,M1,1,5700,NA,NA
54,Nitratos,M1_Tratamientos,M1,1,6000,NA,NA
55,Nitratos,M1_Tratamientos,M1,1,4800,NA,NA
56,Nitratos,M1_Tratamientos,M1,1,3600,NA,NA
7,Nitratos,M1_Tratamientos,M1,2,3400,NA,NA
8,Nitratos,M1_Tratamientos,M1,2,3800,NA,NA
9,Nitratos,M1_Tratamientos,M1,2,3600,NA,NA
10,Nitratos,M1_Tratamientos,M1,2,5400,NA,NA
11,Nitratos,M1_Tratamientos,M1,2,5900,NA,NA
12,Nitratos,M1_Tratamientos,M1,2,5400,NA,NA
17,Nitratos,M1_Tratamientos,M1,2,5900,NA,NA
18,Nitratos,M1_Tratamientos,M1,2,5200,NA,NA
19,Nitratos,M1_Tratamientos,M1,2,5600,NA,NA
20,Nitratos,M1_Tratamientos,M1,2,5700,NA,NA
21,Nitratos,M1_Tratamientos,M1,2,4500,NA,NA
22,Nitratos,M1_Tratamientos,M1,2,4600,NA,NA
35,Nitratos,M1_Tratamientos,M1,2,5600,NA,NA
36,Nitratos,M1_Tratamientos,M1,2,4500,NA,NA
37,Nitratos,M1_Tratamientos,M1,2,3700,NA,NA
38,Nitratos,M1_Tratamientos,M1,2,4000,NA,NA
39,Nitratos,M1_Tratamientos,M1,2,5500,NA,NA
40,Nitratos,M1_Tratamientos,M1,2,6700,NA,NA
45,Nitratos,M1_Tratamientos,M1,2,4400,NA,NA
46,Nitratos,M1_Tratamientos,M1,2,5800,NA,NA
47,Nitratos,M1_Tratamientos,M1,2,4800,NA,NA
48,Nitratos,M1_Tratamientos,M1,2,5100,NA,NA
49,Nitratos,M1_Tratamientos,M1,2,4300,NA,NA
50,Nitratos,M1_Tratamientos,M1,2,3600,NA,NA
13,Nitratos,M1_Tratamientos,M1,3,2800,NA,NA
14,Nitratos,M1_Tratamientos,M1,3,4500,NA,NA
15,Nitratos,M1_Tratamientos,M1,3,4900,NA,NA
16,Nitratos,M1_Tratamientos,M1,3,5300,NA,NA
41,Nitratos,M1_Tratamientos,M1,3,2900,NA,NA
42,Nitratos,M1_Tratamientos,M1,3,5400,NA,NA
43,Nitratos,M1_Tratamientos,M1,3,3400,NA,NA
44,Nitratos,M1_Tratamientos,M1,3,4800,NA,NA
1,Potasio_savia,M1_Tratamientos,M1,1,4100,NA,NA
2,Potasio_savia,M1_Tratamientos,M1,1,4100,NA,NA
3,Potasio_savia,M1_Tratamientos,M1,1,4200,NA,NA
4,Potasio_savia,M1_Tratamientos,M1,1,4400,NA,NA
5,Potasio_savia,M1_Tratamientos,M1,1,4400,NA,NA
6,Potasio_savia,M1_Tratamientos,M1,1,4100,NA,NA
23,Potasio_savia,M1_Tratamientos,M1,1,4400,NA,NA
24,Potasio_savia,M1_Tratamientos,M1,1,4400,NA,NA
25,Potasio_savia,M1_Tratamientos,M1,1,4300,NA,NA
26,Potasio_savia,M1_Tratamientos,M1,1,4400,NA,NA
27,Potasio_savia,M1_Tratamientos,M1,1,4200,NA,NA
28,Potasio_savia,M1_Tratamientos,M1,1,3200,NA,NA
29,Potasio_savia,M1_Tratamientos,M1,1,4100,NA,NA
30,Potasio_savia,M1_Tratamientos,M1,1,3700,NA,NA
31,Potasio_savia,M1_Tratamientos,M1,1,4600,NA,NA
32,Potasio_savia,M1_Tratamientos,M1,1,4200,NA,NA
33,Potasio_savia,M1_Tratamientos,M1,1,4700,NA,NA
34,Potasio_savia,M1_Tratamientos,M1,1,4400,NA,NA
51,Potasio_savia,M1_Tratamientos,M1,1,3800,NA,NA
52,Potasio_savia,M1_Tratamientos,M1,1,4300,NA,NA
53,Potasio_savia,M1_Tratamientos,M1,1,4800,NA,NA
54,Potasio_savia,M1_Tratamientos,M1,1,4800,NA,NA
55,Potasio_savia,M1_Tratamientos,M1,1,4900,NA,NA
56,Potasio_savia,M1_Tratamientos,M1,1,3800,NA,NA
7,Potasio_savia,M1_Tratamientos,M1,2,4400,NA,NA
8,Potasio_savia,M1_Tratamientos,M1,2,4400,NA,NA
9,Potasio_savia,M1_Tratamientos,M1,2,4200,NA,NA
10,Potasio_savia,M1_Tratamientos,M1,2,4700,NA,NA
11,Potasio_savia,M1_Tratamientos,M1,2,4500,NA,NA
12,Potasio_savia,M1_Tratamientos,M1,2,4900,NA,NA
17,Potasio_savia,M1_Tratamientos,M1,2,4700,NA,NA
18,Potasio_savia,M1_Tratamientos,M1,2,5600,NA,NA
19,Potasio_savia,M1_Tratamientos,M1,2,5600,NA,NA
20,Potasio_savia,M1_Tratamientos,M1,2,5000,NA,NA
21,Potasio_savia,M1_Tratamientos,M1,2,5600,NA,NA
22,Potasio_savia,M1_Tratamientos,M1,2,4700,NA,NA
35,Potasio_savia,M1_Tratamientos,M1,2,4300,NA,NA
36,Potasio_savia,M1_Tratamientos,M1,2,5000,NA,NA
37,Potasio_savia,M1_Tratamientos,M1,2,5100,NA,NA
38,Potasio_savia,M1_Tratamientos,M1,2,4300,NA,NA
39,Potasio_savia,M1_Tratamientos,M1,2,4000,NA,NA
40,Potasio_savia,M1_Tratamientos,M1,2,4500,NA,NA
45,Potasio_savia,M1_Tratamientos,M1,2,4300,NA,NA
46,Potasio_savia,M1_Tratamientos,M1,2,4400,NA,NA
47,Potasio_savia,M1_Tratamientos,M1,2,4600,NA,NA
48,Potasio_savia,M1_Tratamientos,M1,2,4300,NA,NA
49,Potasio_savia,M1_Tratamientos,M1,2,4800,NA,NA
50,Potasio_savia,M1_Tratamientos,M1,2,4600,NA,NA
13,Potasio_savia,M1_Tratamientos,M1,3,4300,NA,NA
14,Potasio_savia,M1_Tratamientos,M1,3,4800,NA,NA
15,Potasio_savia,M1_Tratamientos,M1,3,4800,NA,NA
16,Potasio_savia,M1_Tratamientos,M1,3,5700,NA,NA
41,Potasio_savia,M1_Tratamientos,M1,3,5200,NA,NA
42,Potasio_savia,M1_Tratamientos,M1,3,5100,NA,NA
43,Potasio_savia,M1_Tratamientos,M1,3,5000,NA,NA
44,Potasio_savia,M1_Tratamientos,M1,3,5000,NA,NA
1,Calcio_savia,M1_Tratamientos,M1,1,1200,NA,NA
2,Calcio_savia,M1_Tratamientos,M1,1,1000,NA,NA
3,Calcio_savia,M1_Tratamientos,M1,1,940,NA,NA
4,Calcio_savia,M1_Tratamientos,M1,1,1400,NA,NA
5,Calcio_savia,M1_Tratamientos,M1,1,1600,NA,NA
6,Calcio_savia,M1_Tratamientos,M1,1,1500,NA,NA
23,Calcio_savia,M1_Tratamientos,M1,1,1500,NA,NA
24,Calcio_savia,M1_Tratamientos,M1,1,1600,NA,NA
25,Calcio_savia,M1_Tratamientos,M1,1,1600,NA,NA
26,Calcio_savia,M1_Tratamientos,M1,1,1200,NA,NA
27,Calcio_savia,M1_Tratamientos,M1,1,750,NA,NA
28,Calcio_savia,M1_Tratamientos,M1,1,1200,NA,NA
29,Calcio_savia,M1_Tratamientos,M1,1,950,NA,NA
30,Calcio_savia,M1_Tratamientos,M1,1,780,NA,NA
31,Calcio_savia,M1_Tratamientos,M1,1,1000,NA,NA
32,Calcio_savia,M1_Tratamientos,M1,1,1300,NA,NA
33,Calcio_savia,M1_Tratamientos,M1,1,1400,NA,NA
