Nodo,Variable,Valor,Limite_inferior,Limite_superior,Extremo_IQR
44,Potasio_savia,5000,3550,5550,FALSE
45,Potasio_savia,4300,3550,5550,FALSE
46,Potasio_savia,4400,3550,5550,FALSE
47,Potasio_savia,4600,3550,5550,FALSE
48,Potasio_savia,4300,3550,5550,FALSE
49,Potasio_savia,4800,3550,5550,FALSE
50,Potasio_savia,4600,3550,5550,FALSE
51,Potasio_savia,3800,3550,5550,FALSE
52,Potasio_savia,4300,3550,5550,FALSE
53,Potasio_savia,4800,3550,5550,FALSE
54,Potasio_savia,4800,3550,5550,FALSE
55,Potasio_savia,4900,3550,5550,FALSE
56,Potasio_savia,3800,3550,5550,FALSE
1,Calcio_savia,1200,412.5,2512.5,FALSE
2,Calcio_savia,1000,412.5,2512.5,FALSE
3,Calcio_savia,940,412.5,2512.5,FALSE
4,Calcio_savia,1400,412.5,2512.5,FALSE
5,Calcio_savia,1600,412.5,2512.5,FALSE
6,Calcio_savia,1500,412.5,2512.5,FALSE
7,Calcio_savia,1200,412.5,2512.5,FALSE
8,Calcio_savia,1400,412.5,2512.5,FALSE
9,Calcio_savia,1600,412.5,2512.5,FALSE
10,Calcio_savia,1700,412.5,2512.5,FALSE
11,Calcio_savia,2000,412.5,2512.5,FALSE
12,Calcio_savia,1800,412.5,2512.5,FALSE
13,Calcio_savia,1000,412.5,2512.5,FALSE
14,Calcio_savia,2000,412.5,2512.5,FALSE
15,Calcio_savia,1700,412.5,2512.5,FALSE
16,Calcio_savia,1900,412.5,2512.5,FALSE
17,Calcio_savia,2300,412.5,2512.5,FALSE
18,Calcio_savia,1800,412.5,2512.5,FALSE
19,Calcio_savia,1800,412.5,2512.5,FALSE
20,Calcio_savia,1300,412.5,2512.5,FALSE
21,Calcio_savia,1300,412.5,2512.5,FALSE
22,Calcio_savia,1200,412.5,2512.5,FALSE
23,Calcio_savia,1500,412.5,2512.5,FALSE
24,Calcio_savia,1600,412.5,2512.5,FALSE
25,Calcio_savia,1600,412.5,2512.5,FALSE
26,Calcio_savia,1200,412.5,2512.5,FALSE
27,Calcio_savia,750,412.5,2512.5,FALSE
28,Calcio_savia,1200,412.5,2512.5,FALSE
29,Calcio_savia,950,412.5,2512.5,FALSE
30,Calcio_savia,780,412.5,2512.5,FALSE
31,Calcio_savia,1000,412.5,2512.5,FALSE
32,Calcio_savia,1300,412.5,2512.5,FALSE
33,Calcio_savia,1400,412.5,2512.5,FALSE
34,Calcio_savia,1500,412.5,2512.5,FALSE
35,Calcio_savia,1700,412.5,2512.5,FALSE
36,Calcio_savia,1600,412.5,2512.5,FALSE
37,Calcio_savia,1900,412.5,2512.5,FALSE
38,Calcio_savia,2000,412.5,2512.5,FALSE
