Funcion,r,Observado,Limite_inferior,Limite_superior,Posicion
L,2.331642397150773,1.4200748754228667,1.947130168039893,3.071306112065237,Bajo_envolvente
L,2.3468818899426083,1.4502045675391324,1.9731575842511044,3.071306112065237,Bajo_envolvente
L,2.3621213827344434,1.4502045675391324,1.9731575842511044,3.0996649796219335,Bajo_envolvente
L,2.3773608755262785,1.4502045675391324,1.9905597032767746,3.1267227631613568,Bajo_envolvente
L,2.3926003683181136,1.4502045675391324,1.9905597032767746,3.1418202986363597,Bajo_envolvente
L,2.4078398611099487,1.4502045675391324,2.0250252743012522,3.1562564242382374,Bajo_envolvente
L,2.423079353901784,1.4502045675391324,2.0250252743012522,3.1721642282316127,Bajo_envolvente
L,2.438318846693619,1.4502045675391324,2.0250252743012522,3.1721642282316127,Bajo_envolvente
L,2.453558339485454,1.4502045675391324,2.0250252743012522,3.201833939885746,Bajo_envolvente
L,2.468797832277289,1.4502045675391324,2.049133008961383,3.201833939885746,Bajo_envolvente
L,2.4840373250691243,1.4502045675391324,2.070620748949219,3.201833939885746,Bajo_envolvente
L,2.4992768178609595,1.4502045675391324,2.070620748949219,3.2322806837624265,Bajo_envolvente
L,2.5145163106527946,1.5078742486128511,2.0933489525712377,3.2322806837624265,Bajo_envolvente
L,2.5297558034446297,2.4154581680033678,2.114666843301151,3.2322806837624265,Dentro_envolvente
L,2.544995296236465,2.4154581680033678,2.114666843301151,3.2452397530082773,Dentro_envolvente
L,2.5602347890283,2.4154581680033678,2.1621646833240318,3.2452397530082773,Dentro_envolvente
L,2.575474281820135,2.4154581680033678,2.1814900306201803,3.2581472788053567,Dentro_envolvente
L,2.59071377461197,2.4154581680033678,2.1814900306201803,3.2581472788053567,Dentro_envolvente
L,2.6059532674038053,2.4154581680033678,2.1814900306201803,3.2581472788053567,Dentro_envolvente
L,2.6211927601956404,2.4154581680033678,2.2051081521969125,3.2581472788053567,Dentro_envolvente
L,2.6364322529874755,2.4154581680033678,2.2051081521969125,3.272236294282629,Dentro_envolvente
L,2.6516717457793106,2.4154581680033678,2.267367873523333,3.272236294282629,Dentro_envolvente
L,2.6669112385711458,2.4154581680033678,2.2949792505544617,3.287496056475662,Dentro_envolvente
L,2.682150731362981,2.4154581680033678,2.332021708403028,3.3016563819692992,Dentro_envolvente
L,2.697390224154816,2.432840938147644,2.332021708403028,3.3016563819692992,Dentro_envolvente
L,2.712629716946651,2.432840938147644,2.332021708403028,3.317672538263488,Dentro_envolvente
