X,Y,Densidad_nodos_m2
587186.654857683,517558.0244392074,0.13792977503693885
587186.654857683,517558.12847414485,0.136389395401176
587186.654857683,517558.2325090823,0.13481045976820513
587186.654857683,517558.33654401975,0.1331995699803476
587186.654857683,517558.4405789572,0.13156330731266805
587186.654857683,517558.54461389466,0.12990813189171552
587186.7586619072,517555.3195308336,0.15469027781127162
587186.7586619072,517555.4235657711,0.1548837139744918
587186.7586619072,517555.52760070853,0.15502275527222995
587186.7586619072,517555.631635646,0.15510743708050878
587186.7586619072,517555.73567058344,0.15513709280744045
587186.7586619072,517555.8397055209,0.15511043581877632
587186.7586619072,517555.94374045834,0.15502565872969246
587186.7586619072,517556.0477753958,0.15488054658942418
587186.7586619072,517556.15181033325,0.1546726001835455
587186.7586619072,517556.2558452707,0.15439916550427107
587186.7586619072,517556.35988020815,0.15405756539235424
587186.7586619072,517556.4639151456,0.15364522943066986
587186.7586619072,517556.56795008306,0.15315981836102713
587186.7586619072,517556.6719850205,0.1525993395904222
587186.7586619072,517556.77601995796,0.15196225073631622
587186.7586619072,517556.8800548954,0.15124754861625536
587186.7586619072,517556.98408983287,0.15045484159762182
587186.7586619072,517557.0881247703,0.14958440377050528
587186.7586619072,517557.1921597078,0.14863720997272717
587186.7586619072,517557.2961946452,0.1476149512638209
587186.7586619072,517557.4002295827,0.14652003099832667
587186.7586619072,517557.50426452013,0.14535554217371124
587186.7586619072,517557.6082994576,0.14412522721197307
587186.7586619072,517557.71233439504,0.14283342176590302
